branch,local_step,parent_step,global_task_id,occurrence,teacher_demo,query_seed
O-H,31,1200,36,203,36,7432078387109238843
O-H,31,1200,25,203,20,7931921485516764935
O-H,31,1200,1,203,23,7059848035783569396
O-H,31,1200,22,203,35,5983090845058814020
O-H,32,1200,56,203,11,8092486692665507886
O-H,32,1200,37,203,33,8223908908369625712
O-H,32,1200,43,203,29,4653537155926351204
O-H,32,1200,21,203,25,8556692135719955485
O-H,33,1200,55,203,17,44511405029387563
O-H,33,1200,62,203,2,1235114984718705746
O-H,33,1200,64,203,38,8051069420859454290
O-H,33,1200,29,203,30,3258523299785674665
O-H,34,1200,73,203,32,3346473283205920075
O-H,34,1200,42,203,23,5218710021075458546
O-H,34,1200,0,203,22,6418466867178930250
O-H,34,1200,38,203,37,5477318470406907120
O-H,35,1200,96,203,16,4928689300139173778
O-H,35,1200,97,203,6,8263252285636033043
O-H,35,1200,14,203,22,9014901625008422909
O-H,35,1200,15,203,34,7720324499597176897
O-H,36,1200,51,203,42,922509784606902608
O-H,36,1200,28,203,7,3758075386030750190
O-H,36,1200,101,203,41,4859684869023826081
O-H,36,1200,95,203,45,3661948873577020572
O-L,1,1200,1,200,30,5221158960481460466
O-L,1,1200,0,200,29,8719864679367702687
O-L,1,1200,97,200,14,3704791808781401526
O-L,1,1200,36,200,20,859974898066656797
O-L,2,1200,28,200,24,7112000325720607591
O-L,2,1200,42,200,2,3443426852830227935
O-L,2,1200,101,200,6,1359294215058115782
O-L,2,1200,19,200,31,1578900028421397112
O-L,3,1200,22,200,42,3133550402763335877
O-L,3,1200,43,200,5,7021695345414313731
O-L,3,1200,38,200,10,2508957366327886798
O-L,3,1200,4,200,1,2899126878696089260
O-L,4,1200,17,200,34,2642928426710358579
O-L,4,1200,95,200,11,360832516595618743
O-L,4,1200,20,200,24,2959169628055977601
O-L,4,1200,2,200,43,2531509945657323018
O-L,5,1200,56,200,28,1428326624071979361
O-L,5,1200,32,200,29,7104335543961103394
O-L,5,1200,12,200,16,1332787169905962563
O-L,5,1200,25,200,43,3919652834623458006
O-L,6,1200,51,200,18,7977306119191804608
O-L,6,1200,14,200,19,1394649614872907092
O-L,6,1200,5,200,24,4925083107386819588
O-L,6,1200,29,200,8,7739998737734436193
O-L,7,1200,55,200,29,3994376958318849224
O-L,7,1200,73,200,22,8518532817408481025
O-L,7,1200,13,200,35,5814445200136596700
O-L,7,1200,37,200,29,5699930726594305975
O-L,8,1200,64,200,7,8920424252565343978
O-L,8,1200,62,200,16,6113579945613594622
O-L,8,1200,15,200,19,4118025721482405019
O-L,8,1200,35,200,29,815466317164611496
O-L,9,1200,34,200,15,1336071120330498231
O-L,9,1200,96,200,32,8939574224401743319
O-L,9,1200,21,200,10,7828752785709740804
O-L,9,1200,7,200,37,191336467511826881
O-L,10,1200,28,201,3,4663935958242229391
O-L,10,1200,2,201,28,1996344789991697104
O-L,10,1200,0,201,40,2616227608259647003
O-L,10,1200,32,201,30,3194474300634544185
O-L,11,1200,43,201,19,8810757496357491140
O-L,11,1200,95,201,19,516324356325063778
O-L,11,1200,56,201,34,3638354250884036683
O-L,11,1200,35,201,37,6969510844202971263
O-L,12,1200,51,201,0,1450300464981768715
O-L,12,1200,4,201,25,4182556232971012439
O-L,12,1200,55,201,31,1442566556388872099
O-L,12,1200,13,201,41,9104858592803964316
O-L,13,1200,96,201,15,14554625201887416
O-L,13,1200,15,201,1,3491708980981852456
O-L,13,1200,25,201,14,5829261988776062857
O-L,13,1200,1,201,29,7960759851598675398
O-L,14,1200,38,201,19,782624943461857367
O-L,14,1200,97,201,4,7179725028048065796
O-L,14,1200,73,201,20,4002101718248033480
O-L,14,1200,17,201,45,7419085536147810144
O-L,15,1200,101,201,3,6642384811568684303
O-L,15,1200,19,201,6,8160329218714284847
O-L,15,1200,21,201,41,4131075575980654246
O-L,15,1200,36,201,3,4163896487909171117
O-L,16,1200,20,201,31,5613899999624125607
O-L,16,1200,37,201,39,7648500867529043831
O-L,16,1200,64,201,39,8269876140377189874
O-L,16,1200,22,201,5,6149210210041094728
O-L,17,1200,12,201,43,6101604222897152761
O-L,17,1200,5,201,13,290478548473878095
O-L,17,1200,14,201,38,5734935591417971226
O-L,17,1200,62,201,25,952518171772085603
O-L,18,1200,7,201,9,768727246265218047
O-L,18,1200,29,201,27,6441708703491008681
O-L,18,1200,42,201,34,4920256605855093550
O-L,18,1200,34,201,27,6163993346389857177
O-L,19,1200,32,202,0,2009065856676033949
O-L,19,1200,5,202,2,4457653754322174408
O-L,19,1200,95,202,12,30554182175994386
O-L,19,1200,96,202,11,2490984523762322124
O-L,20,1200,101,202,21,3508365251567422452
O-L,20,1200,36,202,8,5789763509830616758
O-L,20,1200,7,202,27,1473300061574102692
O-L,20,1200,14,202,1,4523689288012031262
O-L,21,1200,17,202,44,3187716969945533273
O-L,21,1200,37,202,43,7432595392140338390
O-L,21,1200,43,202,42,4896402764078281485
O-L,21,1200,97,202,21,2380432542989753863
O-L,22,1200,29,202,40,6926884163086980636
O-L,22,1200,73,202,5,5000965999989538744
O-L,22,1200,35,202,19,4586662626881534836
O-L,22,1200,38,202,6,5968528461451517571
O-L,23,1200,51,202,6,7338919134524444747
O-L,23,1200,12,202,11,7840257245990052094
O-L,23,1200,19,202,39,3322913056358757299
O-L,23,1200,13,202,21,8167383968016812711
O-L,24,1200,22,202,6,4207423507260688220
O-L,24,1200,55,202,12,4584277730595377375
O-L,24,1200,25,202,42,430300324694443059
O-L,24,1200,28,202,14,5844993776346760313
O-L,25,1200,1,202,7,6726954148282279619
O-L,25,1200,0,202,19,894269414178649728
O-L,25,1200,62,202,29,1568486735397399570
O-L,25,1200,34,202,11,4900469376537073786
O-L,26,1200,42,202,38,7263000427708727355
O-L,26,1200,15,202,8,3013820933114473177
O-L,26,1200,2,202,5,7747861342154122760
O-L,26,1200,56,202,6,2019906944853362339
O-L,27,1200,21,202,2,6962966724703692596
O-L,27,1200,20,202,22,4924935203747557647
O-L,27,1200,4,202,16,1801959147514521705
O-L,27,1200,64,202,6,8310403570272025063
O-L,28,1200,32,203,37,3915079678644359132
O-L,28,1200,34,203,0,3675708944392094135
O-L,28,1200,20,203,33,7915372585252881588
O-L,28,1200,13,203,30,6155342672403577770
O-L,29,1200,35,203,39,3952450943152147523
O-L,29,1200,12,203,0,4138600392542253443
O-L,29,1200,2,203,40,5008988128360711098
O-L,29,1200,19,203,43,8727234179236865010
O-L,30,1200,7,203,2,9220839151288702788
O-L,30,1200,5,203,25,7857813163168178836
O-L,30,1200,4,203,0,4401208727873805501
O-L,30,1200,17,203,41,99702595863399302
O-L,31,1200,36,203,36,7432078387109238843
O-L,31,1200,25,203,20,7931921485516764935
O-L,31,1200,1,203,23,7059848035783569396
O-L,31,1200,22,203,35,5983090845058814020
O-L,32,1200,56,203,11,8092486692665507886
O-L,32,1200,37,203,33,8223908908369625712
O-L,32,1200,43,203,29,4653537155926351204
O-L,32,1200,21,203,25,8556692135719955485
O-L,33,1200,55,203,17,44511405029387563
O-L,33,1200,62,203,2,1235114984718705746
O-L,33,1200,64,203,38,8051069420859454290
O-L,33,1200,29,203,30,3258523299785674665
O-L,34,1200,73,203,32,3346473283205920075
O-L,34,1200,42,203,23,5218710021075458546
O-L,34,1200,0,203,22,6418466867178930250
O-L,34,1200,38,203,37,5477318470406907120
O-L,35,1200,96,203,16,4928689300139173778
O-L,35,1200,97,203,6,8263252285636033043
O-L,35,1200,14,203,22,9014901625008422909
O-L,35,1200,15,203,34,7720324499597176897
O-L,36,1200,51,203,42,922509784606902608
O-L,36,1200,28,203,7,3758075386030750190
O-L,36,1200,101,203,41,4859684869023826081
O-L,36,1200,95,203,45,3661948873577020572
N-H,1,1800,1,200,30,5221158960481460466
N-H,1,1800,0,200,29,8719864679367702687
N-H,1,1800,97,200,14,3704791808781401526
N-H,1,1800,36,200,20,859974898066656797
N-H,2,1800,28,200,24,7112000325720607591
N-H,2,1800,42,200,2,3443426852830227935
N-H,2,1800,101,200,6,1359294215058115782
N-H,2,1800,19,200,31,1578900028421397112
N-H,3,1800,22,200,42,3133550402763335877
N-H,3,1800,43,200,5,7021695345414313731
N-H,3,1800,38,200,10,2508957366327886798
N-H,3,1800,4,200,1,2899126878696089260
N-H,4,1800,17,200,34,2642928426710358579
N-H,4,1800,95,200,11,360832516595618743
N-H,4,1800,20,200,24,2959169628055977601
N-H,4,1800,2,200,43,2531509945657323018
N-H,5,1800,56,200,28,1428326624071979361
N-H,5,1800,32,200,29,7104335543961103394
N-H,5,1800,12,200,16,1332787169905962563
N-H,5,1800,25,200,43,3919652834623458006
N-H,6,1800,51,200,18,7977306119191804608
N-H,6,1800,14,200,19,1394649614872907092
N-H,6,1800,5,200,24,4925083107386819588
N-H,6,1800,29,200,8,7739998737734436193
N-H,7,1800,55,200,29,3994376958318849224
N-H,7,1800,73,200,22,8518532817408481025
N-H,7,1800,13,200,35,5814445200136596700
N-H,7,1800,37,200,29,5699930726594305975
N-H,8,1800,64,200,7,8920424252565343978
N-H,8,1800,62,200,16,6113579945613594622
N-H,8,1800,15,200,19,4118025721482405019
N-H,8,1800,35,200,29,815466317164611496
N-H,9,1800,34,200,15,1336071120330498231
N-H,9,1800,96,200,32,8939574224401743319
N-H,9,1800,21,200,10,7828752785709740804
N-H,9,1800,7,200,37,191336467511826881
N-H,10,1800,28,201,3,4663935958242229391
N-H,10,1800,2,201,28,1996344789991697104
N-H,10,1800,0,201,40,2616227608259647003
N-H,10,1800,32,201,30,3194474300634544185
N-H,11,1800,43,201,19,8810757496357491140
N-H,11,1800,95,201,19,516324356325063778
N-H,11,1800,56,201,34,3638354250884036683
N-H,11,1800,35,201,37,6969510844202971263
N-H,12,1800,51,201,0,1450300464981768715
N-H,12,1800,4,201,25,4182556232971012439
N-H,12,1800,55,201,31,1442566556388872099
N-H,12,1800,13,201,41,9104858592803964316
N-H,13,1800,96,201,15,14554625201887416
N-H,13,1800,15,201,1,3491708980981852456
N-H,13,1800,25,201,14,5829261988776062857
N-H,13,1800,1,201,29,7960759851598675398
N-H,14,1800,38,201,19,782624943461857367
N-H,14,1800,97,201,4,7179725028048065796
N-H,14,1800,73,201,20,4002101718248033480
N-H,14,1800,17,201,45,7419085536147810144
N-H,15,1800,101,201,3,6642384811568684303
N-H,15,1800,19,201,6,8160329218714284847
N-H,15,1800,21,201,41,4131075575980654246
N-H,15,1800,36,201,3,4163896487909171117
N-H,16,1800,20,201,31,5613899999624125607
N-H,16,1800,37,201,39,7648500867529043831
N-H,16,1800,64,201,39,8269876140377189874
N-H,16,1800,22,201,5,6149210210041094728
N-H,17,1800,12,201,43,6101604222897152761
N-H,17,1800,5,201,13,290478548473878095
N-H,17,1800,14,201,38,5734935591417971226
N-H,17,1800,62,201,25,952518171772085603
N-H,18,1800,7,201,9,768727246265218047
N-H,18,1800,29,201,27,6441708703491008681
N-H,18,1800,42,201,34,4920256605855093550
N-H,18,1800,34,201,27,6163993346389857177
N-H,19,1800,32,202,0,2009065856676033949
N-H,19,1800,5,202,2,4457653754322174408
N-H,19,1800,95,202,12,30554182175994386
N-H,19,1800,96,202,11,2490984523762322124
N-H,20,1800,101,202,21,3508365251567422452
N-H,20,1800,36,202,8,5789763509830616758
N-H,20,1800,7,202,27,1473300061574102692
N-H,20,1800,14,202,1,4523689288012031262
N-H,21,1800,17,202,44,3187716969945533273
N-H,21,1800,37,202,43,7432595392140338390
N-H,21,1800,43,202,42,4896402764078281485
N-H,21,1800,97,202,21,2380432542989753863
N-H,22,1800,29,202,40,6926884163086980636
N-H,22,1800,73,202,5,5000965999989538744
N-H,22,1800,35,202,19,4586662626881534836
N-H,22,1800,38,202,6,5968528461451517571
N-H,23,1800,51,202,6,7338919134524444747
N-H,23,1800,12,202,11,7840257245990052094
N-H,23,1800,19,202,39,3322913056358757299
N-H,23,1800,13,202,21,8167383968016812711
N-H,24,1800,22,202,6,4207423507260688220
N-H,24,1800,55,202,12,4584277730595377375
N-H,24,1800,25,202,42,430300324694443059
N-H,24,1800,28,202,14,5844993776346760313
N-H,25,1800,1,202,7,6726954148282279619
N-H,25,1800,0,202,19,894269414178649728
N-H,25,1800,62,202,29,1568486735397399570
N-H,25,1800,34,202,11,4900469376537073786
N-H,26,1800,42,202,38,7263000427708727355
N-H,26,1800,15,202,8,3013820933114473177
N-H,26,1800,2,202,5,7747861342154122760
N-H,26,1800,56,202,6,2019906944853362339
N-H,27,1800,21,202,2,6962966724703692596
N-H,27,1800,20,202,22,4924935203747557647
N-H,27,1800,4,202,16,1801959147514521705
N-H,27,1800,64,202,6,8310403570272025063
N-H,28,1800,32,203,37,3915079678644359132
N-H,28,1800,34,203,0,3675708944392094135
N-H,28,1800,20,203,33,7915372585252881588
N-H,28,1800,13,203,30,6155342672403577770
N-H,29,1800,35,203,39,3952450943152147523
N-H,29,1800,12,203,0,4138600392542253443
N-H,29,1800,2,203,40,5008988128360711098
N-H,29,1800,19,203,43,8727234179236865010
N-H,30,1800,7,203,2,9220839151288702788
N-H,30,1800,5,203,25,7857813163168178836
N-H,30,1800,4,203,0,4401208727873805501
N-H,30,1800,17,203,41,99702595863399302
N-H,31,1800,36,203,36,7432078387109238843
N-H,31,1800,25,203,20,7931921485516764935
N-H,31,1800,1,203,23,7059848035783569396
N-H,31,1800,22,203,35,5983090845058814020
N-H,32,1800,56,203,11,8092486692665507886
N-H,32,1800,37,203,33,8223908908369625712
N-H,32,1800,43,203,29,4653537155926351204
N-H,32,1800,21,203,25,8556692135719955485
N-H,33,1800,55,203,17,44511405029387563
N-H,33,1800,62,203,2,1235114984718705746
N-H,33,1800,64,203,38,8051069420859454290
N-H,33,1800,29,203,30,3258523299785674665
N-H,34,1800,73,203,32,3346473283205920075
N-H,34,1800,42,203,23,5218710021075458546
N-H,34,1800,0,203,22,6418466867178930250
N-H,34,1800,38,203,37,5477318470406907120
N-H,35,1800,96,203,16,4928689300139173778
N-H,35,1800,97,203,6,8263252285636033043
N-H,35,1800,14,203,22,9014901625008422909
N-H,35,1800,15,203,34,7720324499597176897
N-H,36,1800,51,203,42,922509784606902608
N-H,36,1800,28,203,7,3758075386030750190
N-H,36,1800,101,203,41,4859684869023826081
N-H,36,1800,95,203,45,3661948873577020572
N-L,1,1800,1,200,30,5221158960481460466
N-L,1,1800,0,200,29,8719864679367702687
N-L,1,1800,97,200,14,3704791808781401526
N-L,1,1800,36,200,20,859974898066656797
N-L,2,1800,28,200,24,7112000325720607591
N-L,2,1800,42,200,2,3443426852830227935
N-L,2,1800,101,200,6,1359294215058115782
N-L,2,1800,19,200,31,1578900028421397112
N-L,3,1800,22,200,42,3133550402763335877
N-L,3,1800,43,200,5,7021695345414313731
N-L,3,1800,38,200,10,2508957366327886798
N-L,3,1800,4,200,1,2899126878696089260
N-L,4,1800,17,200,34,2642928426710358579
N-L,4,1800,95,200,11,360832516595618743
N-L,4,1800,20,200,24,2959169628055977601
N-L,4,1800,2,200,43,2531509945657323018
N-L,5,1800,56,200,28,1428326624071979361
N-L,5,1800,32,200,29,7104335543961103394
N-L,5,1800,12,200,16,1332787169905962563
N-L,5,1800,25,200,43,3919652834623458006
N-L,6,1800,51,200,18,7977306119191804608
N-L,6,1800,14,200,19,1394649614872907092
N-L,6,1800,5,200,24,4925083107386819588
N-L,6,1800,29,200,8,7739998737734436193
N-L,7,1800,55,200,29,3994376958318849224
N-L,7,1800,73,200,22,8518532817408481025
N-L,7,1800,13,200,35,5814445200136596700
N-L,7,1800,37,200,29,5699930726594305975
N-L,8,1800,64,200,7,8920424252565343978
N-L,8,1800,62,200,16,6113579945613594622
N-L,8,1800,15,200,19,4118025721482405019
N-L,8,1800,35,200,29,815466317164611496
N-L,9,1800,34,200,15,1336071120330498231
N-L,9,1800,96,200,32,8939574224401743319
N-L,9,1800,21,200,10,7828752785709740804
N-L,9,1800,7,200,37,191336467511826881
N-L,10,1800,28,201,3,4663935958242229391
N-L,10,1800,2,201,28,1996344789991697104
N-L,10,1800,0,201,40,2616227608259647003
N-L,10,1800,32,201,30,3194474300634544185
N-L,11,1800,43,201,19,8810757496357491140
N-L,11,1800,95,201,19,516324356325063778
N-L,11,1800,56,201,34,3638354250884036683
N-L,11,1800,35,201,37,6969510844202971263
N-L,12,1800,51,201,0,1450300464981768715
N-L,12,1800,4,201,25,4182556232971012439
N-L,12,1800,55,201,31,1442566556388872099
N-L,12,1800,13,201,41,9104858592803964316
N-L,13,1800,96,201,15,14554625201887416
N-L,13,1800,15,201,1,3491708980981852456
N-L,13,1800,25,201,14,5829261988776062857
N-L,13,1800,1,201,29,7960759851598675398
N-L,14,1800,38,201,19,782624943461857367
N-L,14,1800,97,201,4,7179725028048065796
N-L,14,1800,73,201,20,4002101718248033480
N-L,14,1800,17,201,45,7419085536147810144
N-L,15,1800,101,201,3,6642384811568684303
