branch,global_task_id,suite,task_id,init_state_id,success,steps,capture_level,has_images,replans,local_payload_bytes,local_payload
N-H,26,libero_goal,6,0,True,97,compact,False,20,40927,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_goal_task_06_state_000.pt
N-H,26,libero_goal,6,1,True,105,compact,False,21,42949,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_goal_task_06_state_001.pt
N-H,26,libero_goal,6,2,True,107,compact,False,22,44907,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_goal_task_06_state_002.pt
N-H,26,libero_goal,6,3,True,97,compact,False,20,40927,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_goal_task_06_state_003.pt
N-H,11,libero_object,1,0,True,224,compact,False,45,90965,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_object_task_01_state_000.pt
N-H,11,libero_object,1,1,False,280,compact,False,56,112943,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_object_task_01_state_001.pt
N-H,11,libero_object,1,2,True,236,compact,False,48,96915,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_object_task_01_state_002.pt
N-H,11,libero_object,1,3,True,189,compact,False,38,76975,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_object_task_01_state_003.pt
N-H,3,libero_spatial,3,0,False,220,full,True,44,69428749,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_spatial_task_03_state_000.pt
N-H,3,libero_spatial,3,1,False,220,compact,False,44,89033,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_spatial_task_03_state_001.pt
N-H,3,libero_spatial,3,2,False,220,compact,False,44,89033,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_spatial_task_03_state_002.pt
N-H,3,libero_spatial,3,3,False,220,compact,False,44,89033,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_spatial_task_03_state_003.pt
N-L,31,libero_10,1,0,False,520,full,True,104,164099607,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_10_task_01_state_000.pt
N-L,31,libero_10,1,1,False,520,compact,False,104,208087,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_10_task_01_state_001.pt
N-L,31,libero_10,1,2,False,520,compact,False,104,208087,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_10_task_01_state_002.pt
N-L,31,libero_10,1,3,False,520,compact,False,104,208087,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_10_task_01_state_003.pt
N-L,26,libero_goal,6,0,True,115,compact,False,23,46929,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_goal_task_06_state_000.pt
N-L,26,libero_goal,6,1,True,128,compact,False,26,52867,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_goal_task_06_state_001.pt
