branch,parent_asset,local_step,parent_step,optimizer_step,lr,seconds,mean_main_loss,mean_teaching_loss,preclip_grad_norm,parameter_displacement_norm
O-H,O1200,27,1200,1227,0.00016279650115,30.486929164733738,0.11188019989501861,0.04106325190514326,0.14920558035373688,0.11825012813895165
O-H,O1200,28,1200,1228,0.00016279650115,42.21116605075076,0.10578960801164308,0.06263322662562132,0.17203210294246674,0.11061985993223365
O-H,O1200,29,1200,1229,0.00016279650115,36.42713041510433,0.07874977792657556,0.09170112246647477,0.10206335783004761,0.10572708491719249
O-H,O1200,30,1200,1230,0.00016279650115,28.680244834162295,0.11680404961641346,0.05493235820904374,0.1404615342617035,0.10180385692224411
O-H,O1200,31,1200,1231,0.00016279650115,33.88114324118942,0.11188410315662622,0.04844390880316496,0.17796479165554047,0.10358351902422473
O-H,O1200,32,1200,1232,0.00016279650115,36.90903586708009,0.08681806030550174,0.045974661596119404,0.11803951114416122,0.10066711699125394
O-H,O1200,33,1200,1233,0.00016279650115,29.195252649020404,0.09783547309537728,0.07884297100827098,0.1795366257429123,0.09744588903147595
O-H,O1200,34,1200,1234,0.00016279650115,41.39204219216481,0.1193123384423199,0.06386550143361092,0.1436210572719574,0.10370811234562571
O-H,O1200,35,1200,1235,0.00016279650115,29.812636632006615,0.08952386659525689,0.034948030952364206,0.1279885619878769,0.1082117638803302
O-H,O1200,36,1200,1236,0.00016279650115,27.64639988495037,0.07862819731235504,0.03136204811744392,0.1199323832988739,0.10968102828580648
O-L,O1200,1,1200,1201,2.959936e-05,36.064276384189725,0.12011409630732876,0.10138336475938559,0.19560419023036957,0.02557411738402073
O-L,O1200,2,1200,1202,2.959936e-05,27.41356622800231,0.08493148668536118,0.05323325889185071,0.151389479637146,0.027516728013603796
O-L,O1200,3,1200,1203,2.959936e-05,40.02391566615552,0.10503688454627991,0.06836243253201246,0.1665186882019043,0.027327653383654806
O-L,O1200,4,1200,1204,2.959936e-05,28.57848086114973,0.11053632616641976,0.05515576573088765,0.15541687607765198,0.026526843524475163
O-L,O1200,5,1200,1205,2.959936e-05,34.62236369913444,0.10543675104244833,0.07731263060122728,0.2193998545408249,0.030094269725082206
O-L,O1200,6,1200,1206,2.959936e-05,29.2580559020862,0.11534714885056017,0.057165478356182575,0.17259709537029266,0.029058812653525362
O-L,O1200,7,1200,1207,2.959936e-05,36.8254558602348,0.10228744326602844,0.06219671759754419,0.1984672248363495,0.03293068118448428
O-L,O1200,8,1200,1208,2.959936e-05,31.354775852989405,0.09740035093965985,0.0534119619987905,0.1542634516954422,0.03220102480560008
O-L,O1200,9,1200,1209,2.959936e-05,30.95782513031736,0.10386590442309776,0.059750428423285484,0.14760060608386993,0.03073536105984418
O-L,O1200,10,1200,1210,2.959936e-05,31.190020500216633,0.15460503456138427,0.053517045453190804,0.21610869467258453,0.028243988360134985
O-L,O1200,11,1200,1211,2.959936e-05,33.47496240539476,0.1060692976628031,0.05817315122112632,0.18737691640853882,0.030330005304581305
O-L,O1200,12,1200,1212,2.959936e-05,27.964261203072965,0.09870436299769651,0.042088621063157916,0.16659365594387054,0.030278730393847743
O-L,O1200,13,1200,1213,2.959936e-05,30.908314326312393,0.11141463697311424,0.06690374203026295,0.20802339911460876,0.030974513971510017
O-L,O1200,14,1200,1214,2.959936e-05,43.79443263169378,0.10025642457462491,0.0905083566904068,0.16074952483177185,0.031440426555270344
O-L,O1200,15,1200,1215,2.959936e-05,34.63492481224239,0.08751309915844882,0.050430040806531906,0.1164894700050354,0.029292903127820995
O-L,O1200,16,1200,1216,2.959936e-05,35.71254423074424,0.1013692207634449,0.06744454987347126,0.13792791962623596,0.027449611401050497
O-L,O1200,17,1200,1217,2.959936e-05,29.077931283973157,0.1000631484424784,0.07549856510013342,0.18451136350631714,0.02599620470670007
O-L,O1200,18,1200,1218,2.959936e-05,37.11405181977898,0.11011376648786521,0.06058961898088455,0.16115911304950714,0.02526526312317092
O-L,O1200,19,1200,1219,2.959936e-05,34.14576749689877,0.11544558538922241,0.079834820702672,0.2098659873008728,0.025854134305628457
O-L,O1200,20,1200,1220,2.959936e-05,39.56074420409277,0.09641424672944204,0.0410477127879858,0.0954463928937912,0.02417223240937036
O-L,O1200,21,1200,1221,2.959936e-05,39.50105155725032,0.10691656677850654,0.05943525582551956,0.12029047310352325,0.02481055602298954
O-L,O1200,22,1200,1222,2.959936e-05,47.69056478375569,0.08419072064792825,0.05202260473743081,0.1237291544675827,0.02341567485223918
O-L,O1200,23,1200,1223,2.959936e-05,29.35341805871576,0.08140634053519794,0.046630796045064926,0.12408553063869476,0.022407930265057364
O-L,O1200,24,1200,1224,2.959936e-05,27.829728543758392,0.09329764926362605,0.029014787636697292,0.13809125125408173,0.02201476939317648
O-L,O1200,25,1200,1225,2.959936e-05,34.385886021889746,0.12630509722623087,0.06673417706042528,0.12347724288702011,0.021753144419664142
O-L,O1200,26,1200,1226,2.959936e-05,29.309379196725786,0.09181742343519414,0.07078036572784185,0.1131928339600563,0.022295074671526253
O-L,O1200,27,1200,1227,2.959936e-05,30.467995774000883,0.10984964642141545,0.038668418768793344,0.11654394119977951,0.02140937021379227
O-L,O1200,28,1200,1228,2.959936e-05,42.20994463004172,0.10661647468805313,0.06859082961454988,0.18422885239124298,0.02160995023703281
O-L,O1200,29,1200,1229,2.959936e-05,36.4394250549376,0.07901818748740923,0.09625501581467688,0.10141945630311966,0.020637181543134084
O-L,O1200,30,1200,1230,2.959936e-05,28.673858212772757,0.11606977689301684,0.060085590928792953,0.12634529173374176,0.02021537880505828
O-L,O1200,31,1200,1231,2.959936e-05,33.985031549818814,0.1116135979426049,0.05450149206444621,0.18135088682174683,0.0208556202647556
O-L,O1200,32,1200,1232,2.959936e-05,36.84493038523942,0.0857705765714248,0.04743512347340584,0.10302945226430893,0.020413070925752713
O-L,O1200,33,1200,1233,2.959936e-05,29.220806129276752,0.10209044348448515,0.0777735011652112,0.1676114797592163,0.021552454107579506
O-L,O1200,34,1200,1234,2.959936e-05,41.422192986588925,0.12238830647298267,0.063787457998842,0.13586455583572388,0.022794411430142453
O-L,O1200,35,1200,1235,2.959936e-05,29.78780827810988,0.08939621420133681,0.0315108229406178,0.09446486830711365,0.022463143288743312
O-L,O1200,36,1200,1236,2.959936e-05,27.621972700115293,0.08026554133920442,0.03364957123994827,0.12412188947200775,0.022279215103463854
N-H,N1800,1,1800,1801,0.00016279650115,41.9996653040871,0.1061475109752445,0.08536501601338387,0.1374359279870987,0.10285950542986136
N-H,N1800,2,1800,1802,0.00016279650115,32.059282197616994,0.08099211832242352,0.05406759073957801,0.077386774122715,0.10008787483435286
N-H,N1800,3,1800,1803,0.00016279650115,46.21272580884397,0.10035157203674316,0.0688512371852994,0.13936415314674377,0.10635675784502462
N-H,N1800,4,1800,1804,0.00016279650115,33.008012626320124,0.1020359821794998,0.043586467392742634,0.09632301330566406,0.10943367731539591
N-H,N1800,5,1800,1805,0.00016279650115,39.727684162557125,0.08913391123392751,0.059412963688373566,0.11700204014778137,0.10679652034743492
N-H,N1800,6,1800,1806,0.00016279650115,32.769009159877896,0.11017703956791333,0.048435903154313564,0.12517546117305756,0.10607964842152724
N-H,N1800,7,1800,1807,0.00016279650115,42.96981646306813,0.093346439390665,0.05407673306763172,0.09425830096006393,0.10483427631790686
N-H,N1800,8,1800,1808,0.00016279650115,35.50530550163239,0.09039711189411936,0.046824154909700155,0.09346946328878403,0.1026371264278353
N-H,N1800,9,1800,1809,0.00016279650115,34.84963437821716,0.09804570320106687,0.057403928600251675,0.10794249176979065,0.10820220963559331
N-H,N1800,10,1800,1810,0.00016279650115,33.68261826969683,0.13852388438369545,0.04984660306945443,0.17634093761444092,0.10771012221452457
N-H,N1800,11,1800,1811,0.00016279650115,39.43607345689088,0.09394993065368562,0.04466608306393027,0.057862211018800735,0.10356654709613289
N-H,N1800,12,1800,1812,0.00016279650115,34.441133187152445,0.08723705545777366,0.03414496057666838,0.07490963488817215,0.09792259830569602
N-H,N1800,13,1800,1813,0.00016279650115,37.955613473430276,0.09579170073959088,0.05162021890282631,0.14190728962421417,0.10297133829047342
N-H,N1800,14,1800,1814,0.00016279650115,49.11984632909298,0.0906060966884806,0.06443449296057224,0.10353723168373108,0.10152402466173926
N-H,N1800,15,1800,1815,0.00016279650115,39.24843423906714,0.0854316320092905,0.04219240369275212,0.09534957259893417,0.09878981917332724
N-H,N1800,16,1800,1816,0.00016279650115,40.69311456941068,0.10237770057505084,0.06759408069774508,0.16013438999652863,0.10611114268780918
N-H,N1800,17,1800,1817,0.00016279650115,38.61175738833845,0.0981665826180861,0.06260151695460081,0.16615094244480133,0.11189218203800849
N-H,N1800,18,1800,1818,0.00016279650115,41.84081245679408,0.10540244275970118,0.05129014700651169,0.12992113828659058,0.1144592495532865
N-H,N1800,19,1800,1819,0.00016279650115,36.50093923229724,0.10225043379302536,0.04638897208496928,0.13499730825424194,0.11815542617376552
N-H,N1800,20,1800,1820,0.00016279650115,43.221513383090496,0.09568386578134128,0.040410259272903204,0.09250124543905258,0.11334595331984121
N-H,N1800,21,1800,1821,0.00016279650115,45.16636658646166,0.10032541304826736,0.051658883690834045,0.08335787802934647,0.11281691595691187
N-H,N1800,22,1800,1822,0.00016279650115,53.22100587841123,0.08283746756968044,0.04783614771440625,0.0957004651427269,0.11061712137794809
N-H,N1800,23,1800,1823,0.00016279650115,34.93617025297135,0.07770505512044543,0.037455400452017784,0.07756460458040237,0.10484045638069134
N-H,N1800,24,1800,1824,0.00016279650115,33.580878605134785,0.09139054663301932,0.02854285668581724,0.1147918850183487,0.10388585684286612
N-H,N1800,25,1800,1825,0.00016279650115,39.37605053372681,0.11720756130913894,0.059963890351355076,0.15074370801448822,0.11359239916006302
N-H,N1800,26,1800,1826,0.00016279650115,37.40455996990204,0.08855504347454934,0.07046520803123713,0.10381332784891129,0.11281279341774403
N-H,N1800,27,1800,1827,0.00016279650115,35.888099673204124,0.10582598436269022,0.038700567558407784,0.11896302551031113,0.11185400823290412
N-H,N1800,28,1800,1828,0.00016279650115,44.88638045731932,0.0997162221797875,0.04055331461131573,0.1087016686797142,0.11240708278171843
N-H,N1800,29,1800,1829,0.00016279650115,40.91579948645085,0.07800426041441304,0.09752702177502215,0.11323241144418716,0.11326646400376886
N-H,N1800,30,1800,1830,0.00016279650115,33.48374069388956,0.11537017655514535,0.045933922752738,0.11947346478700638,0.11524571114422096
N-H,N1800,31,1800,1831,0.00016279650115,37.277542364783585,0.10648208306658835,0.04064448829740286,0.16491128504276276,0.11752762772327248
N-H,N1800,32,1800,1832,0.00016279650115,42.63459157384932,0.08510824000196797,0.04689742811024189,0.08379672467708588,0.11306775058234887
N-H,N1800,33,1800,1833,0.00016279650115,34.23018727451563,0.09694936663089763,0.07221174845471978,0.12890802323818207,0.10818504082613722
N-H,N1800,34,1800,1834,0.00016279650115,45.96022025030106,0.11422646622217836,0.04928318317979574,0.09515807032585144,0.10718476993490245
N-H,N1800,35,1800,1835,0.00016279650115,34.62847075704485,0.08565781376368942,0.032825715839862823,0.08641703426837921,0.10156648492426834
N-H,N1800,36,1800,1836,0.00016279650115,32.73723317775875,0.07353474882741769,0.02840034244582057,0.06650339066982269,0.09686759348348262
N-L,N1800,1,1800,1801,2.959936e-05,41.70527186617255,0.1061475109752445,0.08536501601338387,0.1374359279870987,0.01870172717083875
N-L,N1800,2,1800,1802,2.959936e-05,32.05627416726202,0.08089472171628759,0.05399932712316513,0.07742893695831299,0.018267943811781807
N-L,N1800,3,1800,1803,2.959936e-05,46.250438558869064,0.10027377875078292,0.06882585305720568,0.13877075910568237,0.01939818666213735
N-L,N1800,4,1800,1804,2.959936e-05,33.08695765584707,0.10252978537409077,0.04300605831667781,0.09775890409946442,0.020615479821620226
N-L,N1800,5,1800,1805,2.959936e-05,39.72791505139321,0.08934365607620703,0.05903352424502373,0.11907488852739334,0.02022002262211656
N-L,N1800,6,1800,1806,2.959936e-05,32.86939549352974,0.11020446604206448,0.049170469399541616,0.12864698469638824,0.020124814397089436
N-L,N1800,7,1800,1807,2.959936e-05,42.86541566904634,0.09314296075275966,0.05412031710147858,0.09104926139116287,0.02006338579100936
N-L,N1800,8,1800,1808,2.959936e-05,35.4513966711238,0.0902717062050388,0.04619036614894867,0.08405625075101852,0.019597095507599114
N-L,N1800,9,1800,1809,2.959936e-05,34.84107285179198,0.09801155222313744,0.05670269811525941,0.1003405749797821,0.020225051579253733
N-L,N1800,10,1800,1810,2.959936e-05,33.92462765425444,0.13874270820191928,0.05063675856217742,0.1817152202129364,0.020350699068537443
N-L,N1800,11,1800,1811,2.959936e-05,39.26668253354728,0.09312640387742292,0.04469708167016506,0.04810969531536102,0.019735479364432703
N-L,N1800,12,1800,1812,2.959936e-05,34.373396704904735,0.08738362350101982,0.036793438252061605,0.0843484029173851,0.01990716459558605
N-L,N1800,13,1800,1813,2.959936e-05,37.706622232683,0.0954905730184345,0.04768417216837406,0.11782997846603394,0.019479304800068268
N-L,N1800,14,1800,1814,2.959936e-05,49.37127884756774,0.09098239331727936,0.0656165024265647,0.08834648132324219,0.01931093557366685
N-L,N1800,15,1800,1815,2.959936e-05,39.23196528479457,0.08549413430903638,0.04461781773716211,0.09183642268180847,0.019631049007756994
N-L,N1800,16,1800,1816,2.959936e-05,40.66487961355597,0.10173235851384343,0.0651327627710998,0.12719623744487762,0.02062885682234495
N-L,N1800,17,1800,1817,2.959936e-05,38.57773649226874,0.09824067771079993,0.06453504040837288,0.1701534539461136,0.02090516532230493
N-L,N1800,18,1800,1818,2.959936e-05,41.94249683339149,0.1060248159226917,0.052784334402531385,0.14130403101444244,0.022312814716737725
N-L,N1800,19,1800,1819,2.959936e-05,36.46089998167008,0.09877193834455239,0.05293963057920337,0.11923027038574219,0.021770685297125367
N-L,N1800,20,1800,1820,2.959936e-05,43.27520741149783,0.09605941850514638,0.04138157796114683,0.09120220690965652,0.020910807990404408
N-L,N1800,21,1800,1821,2.959936e-05,45.105049709789455,0.09989013141464619,0.05096313636749983,0.07454424351453781,0.020568132535994682
N-L,N1800,22,1800,1822,2.959936e-05,53.51139889098704,0.0824821006417984,0.049002121202647686,0.09141860157251358,0.020862379962707428
N-L,N1800,23,1800,1823,2.959936e-05,34.72343009430915,0.07720224271040586,0.0345669318921864,0.06618358939886093,0.02003332802756615
N-L,N1800,24,1800,1824,2.959936e-05,33.523394861258566,0.09198438118965853,0.026833324693143368,0.1092856228351593,0.019545200429494283
N-L,N1800,25,1800,1825,2.959936e-05,39.48964842222631,0.11581125079343715,0.05880281142890453,0.11020354926586151,0.019565984540105566
N-L,N1800,26,1800,1826,2.959936e-05,37.26649884041399,0.08871880182552905,0.06984680891036987,0.11168386787176132,0.019839955572844927
N-L,N1800,27,1800,1827,2.959936e-05,35.8862509150058,0.10550369508564471,0.04273040499538183,0.12683458626270294,0.01951280256291985
N-L,N1800,28,1800,1828,2.959936e-05,44.93378539942205,0.09941969306341239,0.04316567676141858,0.11652712523937225,0.02111253439284052
N-L,N1800,29,1800,1829,2.959936e-05,41.020214311778545,0.07718423195183277,0.09773315349593759,0.10657020658254623,0.020149957250052884
N-L,N1800,30,1800,1830,2.959936e-05,33.380632537417114,0.1142312240831199,0.04825157579034567,0.11473752558231354,0.02176528487230961
N-L,N1800,31,1800,1831,2.959936e-05,37.23128416854888,0.1039903928924884,0.040785339660942554,0.14693792164325714,0.02172804406142274
N-L,N1800,32,1800,1832,2.959936e-05,42.639934841543436,0.08400188909754866,0.0444183642975986,0.06778155267238617,0.020893720469036883
N-L,N1800,33,1800,1833,2.959936e-05,34.25110278557986,0.09741383569226378,0.0733342980965972,0.12604080140590668,0.020670372879189873
N-L,N1800,34,1800,1834,2.959936e-05,46.04649358056486,0.11441026769933246,0.04899714840576053,0.0930732935667038,0.020330766116010732
N-L,N1800,35,1800,1835,2.959936e-05,34.53046213276684,0.08509455000360806,0.027687902096658945,0.06718948483467102,0.018970064134426652
N-L,N1800,36,1800,1836,2.959936e-05,32.744054878130555,0.07329786418094521,0.027483304031193256,0.06956375390291214,0.017940758862403268
