asset,family,value_kind,index,value
O1200,q_b,head_singular,116,0.09915361227146155
O1200,q_b,head_singular,117,0.09819595342697858
O1200,q_b,head_singular,118,0.0974691346392163
O1200,q_b,head_singular,119,0.09683131663796136
O1200,q_b,head_singular,120,0.0963632178874014
O1200,q_b,head_singular,121,0.09568683863873013
O1200,q_b,head_singular,122,0.09435920402250651
O1200,q_b,head_singular,123,0.09321321735416133
O1200,q_b,head_singular,124,0.09253090167464981
O1200,q_b,head_singular,125,0.09212984337210894
O1200,q_b,head_singular,126,0.09171761329393745
O1200,q_b,head_singular,127,0.09049270834949215
O1200,q_b,head_singular,128,0.09015289217250798
O1200,q_b,head_singular,129,0.08958011676172545
O1200,q_b,head_singular,130,0.08810214600115633
O1200,q_b,head_singular,131,0.0879718401560684
O1200,q_b,head_singular,132,0.0872350559978518
O1200,q_b,head_singular,133,0.08626116427186027
O1200,q_b,head_singular,134,0.08576509656784939
O1200,q_b,head_singular,135,0.08448980546797302
O1200,q_b,head_singular,136,0.08411839992052314
O1200,q_b,head_singular,137,0.08333880924455524
O1200,q_b,head_singular,138,0.08319560018375513
O1200,q_b,head_singular,139,0.08226263546960595
O1200,q_b,head_singular,140,0.08152255984409755
O1200,q_b,head_singular,141,0.08095041378898009
O1200,q_b,head_singular,142,0.0802993995072583
O1200,q_b,head_singular,143,0.0800023657281333
O1200,q_b,head_singular,144,0.07970341835828444
O1200,q_b,head_singular,145,0.07856022555204309
O1200,q_b,head_singular,146,0.07813290671935688
O1200,q_b,head_singular,147,0.07754666587115361
O1200,q_b,head_singular,148,0.07610735016175181
O1200,q_b,head_singular,149,0.07559761169367044
O1200,q_b,head_singular,150,0.0749613078407161
O1200,q_b,head_singular,151,0.07447146695169843
O1200,q_b,head_singular,152,0.07378748959064807
O1200,q_b,head_singular,153,0.07318733761454109
O1200,q_b,head_singular,154,0.0730199265146876
O1200,q_b,head_singular,155,0.07181109273105041
O1200,q_b,head_singular,156,0.07135904067757455
O1200,q_b,head_singular,157,0.0710953632003057
O1200,q_b,head_singular,158,0.07089341516333357
O1200,q_b,head_singular,159,0.070042521537172
O1200,q_b,head_singular,160,0.06921940258265351
O1200,q_b,head_singular,161,0.06858222216518767
O1200,q_b,head_singular,162,0.06785409540928995
O1200,q_b,head_singular,163,0.06728886657611498
O1200,q_b,head_singular,164,0.06617762186281986
O1200,q_b,head_singular,165,0.0654193966272868
O1200,q_b,head_singular,166,0.06533127491568817
O1200,q_b,head_singular,167,0.0648895942232305
O1200,q_b,head_singular,168,0.06442009251734589
O1200,q_b,head_singular,169,0.0636834756850141
O1200,q_b,head_singular,170,0.06339825050364928
O1200,q_b,head_singular,171,0.06259893396302213
O1200,q_b,head_singular,172,0.06215426477130588
O1200,q_b,head_singular,173,0.06141417917013465
O1200,q_b,head_singular,174,0.060884304033118244
O1200,q_b,head_singular,175,0.06017047736840705
O1200,q_b,head_singular,176,0.0594486250989198
O1200,q_b,head_singular,177,0.05874914384278462
O1200,q_b,head_singular,178,0.058323653304905146
O1200,q_b,head_singular,179,0.05768345537396503
O1200,q_b,head_singular,180,0.05766325613040567
O1200,q_b,head_singular,181,0.05728246205288059
O1200,q_b,head_singular,182,0.05656482332766016
O1200,q_b,head_singular,183,0.05617311203686322
O1200,q_b,head_singular,184,0.05547337979704733
O1200,q_b,head_singular,185,0.0546147425058781
O1200,q_b,head_singular,186,0.05418505989835456
O1200,q_b,head_singular,187,0.05380008312083044
O1200,q_b,head_singular,188,0.05361974608287616
O1200,q_b,head_singular,189,0.053293041488108844
O1200,q_b,head_singular,190,0.052122730753658225
O1200,q_b,head_singular,191,0.05093047797675232
O1200,q_b,head_singular,192,0.04987009070477043
O1200,q_b,head_singular,193,0.049554244497969066
O1200,q_b,head_singular,194,0.049186044279519774
O1200,q_b,head_singular,195,0.04795954471722003
O1200,q_b,head_singular,196,0.04774901673091671
O1200,q_b,head_singular,197,0.04721361668084844
O1200,q_b,head_singular,198,0.04631400363536529
O1200,q_b,head_singular,199,0.04587108374930955
O1200,q_b,head_singular,200,0.04550464676144075
O1200,q_b,head_singular,201,0.04480458675950521
O1200,q_b,head_singular,202,0.04302064280197692
O1200,q_b,head_singular,203,0.0418149712455588
O1200,q_b,head_singular,204,0.04170143580788862
O1200,q_b,head_singular,205,0.040475596734297514
O1200,q_b,head_singular,206,0.04037038912981852
O1200,q_b,head_singular,207,0.03905988433145632
O1200,q_b,head_singular,208,0.03769082505796827
O1200,q_b,head_singular,209,0.037189547667867084
O1200,q_b,head_singular,210,0.03657643485548407
O1200,q_b,head_singular,211,0.03268076551130861
O1200,q_b,head_singular,212,0.03203859322521641
O1200,q_b,head_singular,213,0.031055022990621916
O1200,q_b,head_singular,214,0.02684429247740021
O1200,q_b,head_singular,215,0.025995246366239535
O1200,v_b,head_singular,0,0.8338238090414485
O1200,v_b,head_singular,1,0.5421169883257985
O1200,v_b,head_singular,2,0.4889261247327661
