asset,global_task_id,family,left_demo,right_demo,flattened_cosine,relative_l2,centered_energy_ratio
N1000,5,q_b,46,48,0.9972351124528787,0.07924116589578141,0.0015314199634119995
N1000,5,v_b,46,48,0.9975120211180778,0.0721732335569242,0.0012854525731058638
N1000,7,q_b,46,48,0.9743981974557394,0.22584613760372335,0.012805202616018124
N1000,7,v_b,46,48,0.9739641545347039,0.22921570116914566,0.013032685343996623
N1000,12,q_b,46,48,0.9975661713177307,0.0756467026448764,0.0013926348927677235
N1000,12,v_b,46,48,0.9974242454380897,0.0761064573885223,0.0014153146222240613
N1000,37,q_b,46,48,0.9983570173174123,0.06485244124913543,0.001085662867545897
N1000,37,v_b,46,48,0.9978869692999022,0.06719211448510477,0.0011506150088357017
