asset,family,rows,columns,effective_weight_precision,rank_tolerance,numerical_rank,frobenius_norm,spectral_condition
O1200,q_b,2048,216,bf16_then_fp64_analysis,1.1602900599337086e-12,216,5.328835734280828,98.15274643035242
O1200,v_b,256,216,bf16_then_fp64_analysis,4.7397396033457453e-14,216,1.7351250577024313,384.5579755618068
N1000,q_b,2048,216,bf16_then_fp64_analysis,1.1601372040317526e-12,216,4.919250039915762,117.61726910096002
N1000,v_b,256,216,bf16_then_fp64_analysis,4.840683902263554e-14,216,1.5869888671016155,575.1189896765284
N1800,q_b,2048,216,bf16_then_fp64_analysis,1.5024824554218638e-12,216,6.550696362843584,116.47230773689982
N1800,v_b,256,216,bf16_then_fp64_analysis,5.946472146339505e-14,216,2.1003024219703006,425.44942940507565
