model,start_step,end_step,updates,mean_flow_loss,mean_teaching_loss,mean_total_loss,writer_grad_norm,meta_grad_norm,vl_meta_grad_norm,text_meta_grad_norm,seconds,maximum_allocated_gib
main,1,100,100,0.13156041411594266,0.0869350165873766,0.1605387529784015,0.9559009666740894,0.00025468347733662575,0.0046478419888410375,0.0002774095885624206,16.40789885312319,32.41418695449829
main,101,200,100,0.12481564047879407,0.07371255483943968,0.14938649209194063,0.5033718337118626,0.0006724067394679878,0.009727629267144948,0.0009611066633078736,17.01032802036032,32.41418695449829
main,201,300,100,0.1199050802342771,0.07060778597136959,0.1434410088914003,0.3493198050558567,0.0007495910439320141,0.007707205065526068,0.0006934113110764884,16.391296704495325,32.41418695449829
main,301,400,100,0.1161458012807582,0.06972737635020167,0.13938826006415878,0.26852343559265135,0.0005735170245316113,0.006108072560746223,0.00045074119931086897,16.324664193633943,32.41574954986572
main,401,500,100,0.11196720615517171,0.06554995622718707,0.13381719156423405,0.22854285538196564,0.0005343049904331565,0.004611272441688925,0.00033749145375622903,16.03398884342052,32.41574954986572
main,501,600,100,0.11227180564332576,0.062006760213989764,0.13294072571465568,0.20301359698176383,0.0003502095071598887,0.004023182245437056,0.0002272251074464293,16.16232425460592,32.41574954986572
main,601,700,100,0.11043381479768348,0.06129356974270195,0.13086500471191745,0.19499155946075916,0.00034700081068876897,0.003560899822041392,0.0001489786921229097,15.939849086813629,32.41574954986572
main,701,800,100,0.10827703905557946,0.06083795534679666,0.1285563575045117,0.19157450303435325,0.0003829939400020521,0.003820658011827618,0.00012702314317721174,16.110822787936776,32.41574954986572
main,801,900,100,0.10685452655844746,0.05632865371881053,0.12563074446471761,0.17275121740996838,0.00027454612642031863,0.003078161337180063,9.174990515020909e-05,15.932072468716651,32.41574954986572
main,901,1000,100,0.10713832404287088,0.05912641827715561,0.1268471301352561,0.16629160583019256,0.00029110492301697376,0.0027778786339331418,8.233067141190987e-05,16.03009137675166,32.424213886260986
main,1001,1100,100,0.10540316980953017,0.05712025344837457,0.12444325429232168,0.1553441184014082,0.00026356898568337785,0.002474414814496413,7.546223809185903e-05,16.08589236537926,32.424511432647705
main,1101,1200,100,0.10347773731020943,0.054554399808403105,0.12166253724634381,0.1480744367837906,0.00025713550247019156,0.002377606973750517,5.24519649479771e-05,16.096696378933267,32.42458200454712
main,1201,1300,100,0.10152355780381532,0.05662191030103713,0.12039752790416103,0.14366689033806324,0.00020070655300514774,0.002283636716892943,4.361288980362588e-05,16.383659938145428,32.413344383239746
main,1301,1400,100,0.10052868153412073,0.05397320670075714,0.1185197504343731,0.13455095663666725,0.00015017710091342452,0.001973006605403498,3.673940513181151e-05,16.56660601786338,32.413344383239746
main,1401,1500,100,0.10003215779993861,0.048986684675328435,0.11636105269171475,0.13789630599319935,0.00014494525974441784,0.001861042984528467,3.7310843399609436e-05,16.12774828932248,32.41345500946045
main,1501,1600,100,0.09786601924470492,0.05409537567058578,0.11589781113490018,0.14008470825850963,0.00014617294113122625,0.0018712358211632819,4.495633647820796e-05,16.551364263202995,32.41650438308716
main,1601,1700,100,0.09869605794615512,0.05285244486643933,0.11631353956830155,0.13882571808993815,0.0001482552678498905,0.001883771731518209,4.028519855637569e-05,16.52258340240456,32.41988134384155
main,1701,1800,100,0.09853962705869761,0.050559310580138114,0.11539273058541029,0.1416055877506733,0.00013732550727581837,0.0018539004330523313,3.780324836043292e-05,16.307026540804653,32.41988134384155
main,1801,1900,100,0.0996656007683348,0.04932827445561998,0.11610835892020813,0.14178509436547757,0.0001453371033858275,0.0019153155642561614,3.888336072122911e-05,16.39233350779861,32.41988134384155
main,1901,2000,100,0.09806436396115238,0.05208402645890601,0.11542570611412105,0.15115407384932042,0.0001470771884851274,0.0020352421794086694,3.893620611052029e-05,16.53202109706588,32.41988134384155
main,2001,2100,100,0.09936273465265652,0.05290052059339359,0.11699624151712106,0.1506158696860075,0.00015411843043693806,0.0021322076208889484,4.1444970465818185e-05,16.4663859130349,32.41988134384155
ablation,1,100,100,0.1327168613752084,0.08543737799394875,0.16119598737319132,0.9490485971421003,0.00036462149836678727,0.0042259503829109235,0.0002251555675465866,16.036950040068476,32.41418695449829
ablation,101,200,100,0.12614736313798597,0.08342133030062542,0.15395447323819444,0.47618962720036506,0.0007755341981828678,0.008555435648886486,0.0005447200317576062,16.458503219792618,32.41418695449829
ablation,201,300,100,0.12036062351738412,0.0700017136731185,0.14369452807509028,0.29532231256365776,0.0006224469405424315,0.0063124445686116816,0.00048621655034367,16.317330325962974,32.41418695449829
ablation,301,400,100,0.11635312077722379,0.0686355131980963,0.1392316251765892,0.2358695711940527,0.0004311246337601915,0.005158237158320844,0.00048287903882737737,16.46398031357676,32.41574954986572
ablation,401,500,100,0.11281303041259802,0.06533917150227353,0.13459275424668918,0.2134966930001974,0.0003611966024618596,0.004908092609839514,0.00043197085993597285,16.35176287746988,32.41574954986572
ablation,501,600,100,0.11281315857278448,0.06622152562253177,0.13488700044696172,0.1940566948056221,0.00041702151404024337,0.004017053045099601,0.000396764892830106,16.48867601333186,32.41574954986572
ablation,601,700,100,0.11045024919900155,0.06123532494297251,0.13086202417999238,0.18006142653524876,0.000305506696968223,0.0035381306137423963,0.00023149067819758785,16.399237373089417,32.41574954986572
ablation,701,800,100,0.10793397639789395,0.05885855039581656,0.12755349319649947,0.16947880797088147,0.00022356825007591397,0.003209876390174031,0.00022046016820240766,16.55607309290208,32.41574954986572
ablation,801,900,100,0.10700983288210063,0.06258265648386441,0.1278707183767221,0.17263313129544258,0.00019179162925865966,0.003019199256086722,0.00019165098477969878,16.579285758091135,32.41574954986572
ablation,901,1000,100,0.10717007109851,0.05859429116360843,0.1267015014863795,0.16504453748464584,0.00019919811260479036,0.002703020692570135,0.0001622515415874659,16.557561337836088,32.424213886260986
ablation,1001,1100,100,0.10543211544996925,0.059021041770465674,0.12510579604012448,0.15544630400836468,0.00021437354436784517,0.002664909785380587,0.00013922799884312552,16.70229286370799,32.424511432647705
ablation,1101,1200,100,0.10364943732241434,0.0581094252737239,0.12301924574698898,0.14414675675332547,0.00020752991673361976,0.002237750513013452,0.00010346622075303457,16.585008057747036,32.42458200454712
ablation,1201,1300,100,0.10200932362604709,0.05636494751088321,0.12079763946300816,0.13930554881691934,0.0001622155375298462,0.002230433658696711,9.366924547066447e-05,16.33056459274143,32.413344383239746
ablation,1301,1400,100,0.1009476492491861,0.0545892064506188,0.11914405139939238,0.13426282346248627,0.00013028352626861305,0.001952944552176632,6.579743028851227e-05,16.51045256193727,32.413344383239746
ablation,1401,1500,100,0.10047077256875733,0.052275488551240416,0.1178959354191708,0.1370876070857048,0.0001119891513735638,0.0017535292712273075,6.730076760504745e-05,16.04290188186802,32.41345500946045
ablation,1501,1600,100,0.09835187501141002,0.05206946680322289,0.11570836394581767,0.137336570546031,0.00011088740604463964,0.0017913869582116605,6.89759390297695e-05,16.456016310974956,32.41650438308716
ablation,1601,1700,100,0.09900410066003955,0.05109722998808138,0.11603651065606668,0.13574653215706348,0.00010867744505958398,0.0017246833874378354,6.590702767425683e-05,16.337796487770973,32.41988134384155
ablation,1701,1800,100,0.09881671257427938,0.04959655310958624,0.11534889694414145,0.1355807902663946,0.00010630684872012353,0.0017255792370997369,6.507129724923288e-05,16.041487587252632,32.41988134384155
ablation,1801,1900,100,0.1000473336352124,0.05091312740696594,0.11701837610420104,0.14482347160577774,0.00011493958369101165,0.0018938003305811436,6.739789681887486e-05,16.09128616512753,32.41988134384155
ablation,1901,2000,100,0.09821421276378844,0.05129741498618387,0.11531335109251639,0.14627864591777326,0.00010532122916629306,0.0019467588444240392,7.67892928706715e-05,16.031051536407322,32.41988134384155
ablation,2001,2100,100,0.09978401694380279,0.052819098555482925,0.11739038312896376,0.1520393842458725,0.00011131649967865088,0.001870860505150631,8.382950221857754e-05,15.97234040315263,32.41988134384155
dual_camera,1,100,100,0.13309694432032604,0.08916218920145184,0.16281767405414332,0.9499897706508637,6.072893186842232e-05,0.0057699704907304295,0.0004311289860375922,15.545318242916837,28.17477560043335
dual_camera,101,200,100,0.12483091313658015,0.07441406430443749,0.14963560123805933,0.42032340496778486,0.00013436106939479942,0.008647035388275982,0.0010584174016548787,15.838397875595838,28.17477560043335
