study,lr_applied,step,lr_next,mean_flow_loss,mean_teaching_loss,mean_total_loss,writer_grad_norm,text_meta_grad_norm,vl_meta_grad_norm,meta_grad_norm,total_grad_norm,seconds,peak_reserved_gib,supervised_queries,teaching_queries
old,,1,5.94059405940594e-06,0.1829021087005025,0.12821367476135492,0.2256400002876208,0.1339096873998642,0.0,0.0,0.0,0.133909672498703,19.07486216817051,35.119140625,84,28
old,5.94059405940594e-06,2,8.91089108910891e-06,0.14156758607853026,0.09656780352815986,0.17375685392125023,0.1318596601486206,4.8654428042027575e-08,1.6439220189568005e-06,0.0,0.1318596601486206,13.014882685616612,35.23046875,168,56
old,8.91089108910891e-06,3,1.188118811881188e-05,0.14901471492790042,0.0877830283716321,0.1782757243851111,0.07130050659179688,1.3224395445377013e-07,2.394777084191446e-06,1.468603239018762e-09,0.07130050659179688,14.888930397108197,35.23046875,252,84
old,1.188118811881188e-05,4,1.4851485148514851e-05,0.1695527754546631,0.1188333691097796,0.2091638984912563,0.14102618396282196,3.733216544787865e-07,5.352802872948814e-06,9.219638386070983e-09,0.14102618396282196,15.747729781083763,35.23046875,336,112
old,1.4851485148514851e-05,5,1.782178217821782e-05,0.11986939076866422,0.07817749958485365,0.14592855729694876,0.11085982620716095,4.4245163621781103e-07,8.528264515916817e-06,3.622546884685107e-08,0.11085982620716095,16.637258680537343,35.23046875,420,140
old,1.782178217821782e-05,6,2.079207920792079e-05,0.1353089263041814,0.09028748981654644,0.16540475624303022,0.21262791752815247,1.7078936025427538e-06,2.9601909773191437e-05,1.3991142111535737e-07,0.21262791752815247,12.722907595336437,35.23046875,504,168
old,2.079207920792079e-05,7,2.376237623762376e-05,0.1347464740365034,0.08480092510581017,0.16301344907177345,0.2409268021583557,1.8023666825683904e-06,4.0962357161333784e-05,3.4977347240783274e-07,0.24092678725719452,14.867549686692655,35.23046875,588,196
old,2.376237623762376e-05,8,2.673267326732673e-05,0.13695635513535567,0.12364037521183491,0.17816981353930064,0.30238547921180725,5.112901817483362e-06,0.00011032210022676736,1.260597059626889e-06,0.30238547921180725,16.33154070097953,35.23046875,672,224
old,2.673267326732673e-05,9,2.9702970297029702e-05,0.14080218305545192,0.15468979999423027,0.19236544972019534,0.5710127949714661,1.1826094123534858e-05,0.00030919641721993685,4.1363705349795055e-06,0.5710127949714661,16.22654342185706,35.23046875,756,252
old,2.9702970297029702e-05,10,3.267326732673267e-05,0.14154041993121305,0.10525799077004194,0.17662641685456038,0.5027320981025696,1.0211609151156154e-05,0.00019163523393217474,1.0969505410685088e-06,0.5027321577072144,16.69108880124986,35.23046875,840,280
