optimizer_step,applied_lr,next_lr,mean_action_loss,gradient_norm_before_clip_max,global_action_queries,global_samples_per_task_this_step,global_task_count_this_step,step_seconds_max,max_cuda_reserved_bytes
51,0.00010132450331125827,0.00010331125827814568,0.11982930327455202,0.012524064630270004,29376,16,36,76.04895405564457,35362177024
52,0.00010331125827814568,0.0001052980132450331,0.1186273367040687,0.011572856456041336,29952,16,36,74.94115577917546,35362177024
53,0.0001052980132450331,0.00010728476821192052,0.12177908586131202,0.012366478331387043,30528,16,36,75.43886020313948,35362177024
54,0.00010728476821192052,0.00010927152317880793,0.12478350392646259,0.011819512583315372,31104,16,36,75.62480568094179,35362177024
55,0.00010927152317880793,0.00011125827814569536,0.11819321993324491,0.00940990261733532,31680,16,36,75.51947488775477,35362177024
56,0.00011125827814569536,0.00011324503311258276,0.12388265464040968,0.01021501049399376,32256,16,36,75.41316377278417,35362177024
57,0.00011324503311258276,0.0001152317880794702,0.11417014524340628,0.010569730773568153,32832,16,36,75.06984561122954,35362177024
58,0.0001152317880794702,0.0001172185430463576,0.11281669139862059,0.010981595143675804,33408,16,36,75.4756612451747,35362177024
59,0.0001172185430463576,0.00011920529801324502,0.11835956490702099,0.01033954881131649,33984,16,36,75.39501786697656,35362177024
60,0.00011920529801324502,0.00012119205298013245,0.12147137232952646,0.01159435510635376,34560,16,36,75.23822402115911,35362177024
61,0.00012119205298013245,0.00012317880794701985,0.12177929654717443,0.010877016000449657,35136,16,36,75.29301199829206,35362177024
62,0.00012317880794701985,0.00012516556291390727,0.11984789330098364,0.010238757357001305,35712,16,36,75.34102107444778,35362177024
63,0.00012516556291390727,0.0001271523178807947,0.11744355824258591,0.01144260261207819,36288,16,36,75.41525752283633,35362177024
64,0.0001271523178807947,0.0001291390728476821,0.11693922388884756,0.011578683741390705,36864,16,36,75.44675581762567,35362177024
65,0.0001291390728476821,0.00013112582781456953,0.12262597845660314,0.011097146198153496,37440,16,36,75.30289580626413,35362177024
66,0.00013112582781456953,0.00013311258278145694,0.11657762486073706,0.010490292683243752,38016,16,36,75.2896520178765,35362177024
67,0.00013311258278145694,0.00013509933774834436,0.116625950154331,0.011218353174626827,38592,16,36,75.38650173926726,35362177024
68,0.00013509933774834436,0.00013708609271523178,0.11996324194802178,0.011916004121303558,39168,16,36,75.28825229173526,35362177024
69,0.00013708609271523178,0.0001390728476821192,0.11582309504350025,0.011266006156802177,39744,16,36,75.4843429219909,35362177024
70,0.0001390728476821192,0.00014105960264900662,0.11731251039438775,0.011049363762140274,40320,16,36,75.37267312407494,35362177024
71,0.00014105960264900662,0.00014304635761589404,0.11417820884121789,0.011041008867323399,40896,16,36,75.23467643372715,35362177024
72,0.00014304635761589404,0.00014503311258278145,0.11196853758560285,0.011328030377626419,41472,16,36,75.12843982782215,35362177024
73,0.00014503311258278145,0.00014701986754966887,0.11551323243313366,0.01358420867472887,42048,16,36,75.45347854867578,35362177024
74,0.00014701986754966887,0.00014900662251655626,0.128580540832546,0.012095700018107891,42624,16,36,75.28366453107446,35362177024
75,0.00014900662251655626,0.0001509933774834437,0.1140359987815221,0.012112250551581383,43200,16,36,75.18173425877467,35362177024
76,0.0001509933774834437,0.00015298013245033113,0.11293930932879448,0.010703999549150467,43776,16,36,75.30810862686485,35362177024
77,0.00015298013245033113,0.00015496688741721852,0.11730092763900755,0.012497740797698498,44352,16,36,75.45740605099127,35362177024
78,0.00015496688741721852,0.00015695364238410594,0.11395230516791344,0.010701012797653675,44928,16,36,75.48660965263844,35362177024
79,0.00015695364238410594,0.00015894039735099338,0.11756904837157992,0.010612156242132187,45504,16,36,75.48285472532734,35362177024
80,0.00015894039735099338,0.00016092715231788077,0.11511708299318948,0.010785289108753204,46080,16,36,75.59072172595188,35362177024
81,0.00016092715231788077,0.0001629139072847682,0.11683810502290724,0.011810943484306335,46656,16,36,75.72557220095769,35362177024
82,0.0001629139072847682,0.00016490066225165564,0.11337677016854286,0.011396855115890503,47232,16,36,75.23262009490281,35362177024
83,0.00016490066225165564,0.00016688741721854303,0.11829500479830636,0.012573149986565113,47808,16,36,75.23126838402823,35362177024
84,0.00016688741721854303,0.00016887417218543045,0.10882324601213136,0.013719886541366577,48384,16,36,75.20656788675115,35362177024
85,0.00016887417218543045,0.00017086092715231787,0.11696775919861263,0.012770695611834526,48960,16,36,75.25607106322423,35362177024
86,0.00017086092715231787,0.00017284768211920526,0.11479509332113796,0.012013843283057213,49536,16,36,75.51770220790058,35362177024
87,0.00017284768211920526,0.0001748344370860927,0.10958680593305162,0.011294212192296982,50112,16,36,75.34194545587525,35362177024
88,0.0001748344370860927,0.00017682119205298012,0.11220538988709448,0.01162364799529314,50688,16,36,75.364962446969,35362177024
89,0.00017682119205298012,0.00017880794701986754,0.11447007954120635,0.01364369597285986,51264,16,36,75.37980915326625,35362177024
90,0.00017880794701986754,0.00018079470198675493,0.11606862313217586,0.011488993652164936,51840,16,36,75.21214732108638,35362177024
91,0.00018079470198675493,0.00018278145695364238,0.10954839239517848,0.01333692017942667,52416,16,36,75.30875058704987,35362177024
92,0.00018278145695364238,0.0001847682119205298,0.11397991205255191,0.01231163926422596,52992,16,36,75.25137576879933,35362177024
93,0.0001847682119205298,0.00018675496688741718,0.11127393113242255,0.012671384029090405,53568,16,36,75.23839839501306,35362177024
94,0.00018675496688741718,0.00018874172185430463,0.11140070441696379,0.012896844185888767,54144,16,36,75.2408176898025,35362177024
95,0.00018874172185430463,0.00019072847682119205,0.11462097904748386,0.013022310100495815,54720,16,36,75.25450442405418,35362177024
96,0.00019072847682119205,0.00019271523178807944,0.1114273009200891,0.011702371761202812,55296,16,36,75.36439995514229,35362177024
97,0.00019271523178807944,0.00019470198675496686,0.1144963502883911,0.013690875843167305,55872,16,36,75.25595848588273,35362177024
98,0.00019470198675496686,0.0001966887417218543,0.11247880301541752,0.01146775297820568,56448,16,36,75.20204796921462,35362177024
99,0.0001966887417218543,0.00019867549668874172,0.1095558280746142,0.012759006582200527,57024,16,36,75.2714509787038,35362177024
100,0.00019867549668874172,0.0002006622516556291,0.1156485519475407,0.012614648789167404,57600,16,36,74.29461367893964,35362177024
101,0.0002006622516556291,0.00020264900662251653,0.11125334393646981,0.011235899291932583,58176,16,36,77.48016229225323,35362177024
102,0.00020264900662251653,0.00020463576158940398,0.11224072095420624,0.011616721749305725,58752,16,36,75.45324715971947,35362177024
103,0.00020463576158940398,0.00020662251655629137,0.11052316427230834,0.012918572872877121,59328,16,36,75.33287296071649,35362177024
104,0.00020662251655629137,0.00020860927152317879,0.1085643648273415,0.012192362919449806,59904,16,36,75.47918316302821,35362177024
105,0.00020860927152317879,0.0002105960264900662,0.1091972506708569,0.01339639164507389,60480,16,36,75.42105017136782,35362177024
106,0.0002105960264900662,0.00021258278145695362,0.11314134423931438,0.01395411416888237,61056,16,36,75.37641974491999,35362177024
107,0.00021258278145695362,0.00021456953642384104,0.10918566170665953,0.01291944645345211,61632,16,36,75.35186723573133,35362177024
108,0.00021456953642384104,0.00021655629139072846,0.1065602521929476,0.013856321573257446,62208,16,36,75.38908160617575,35362177024
109,0.00021655629139072846,0.00021854304635761585,0.11014729572667015,0.012868215329945087,62784,16,36,75.63441476784647,35362177024
110,0.00021854304635761585,0.0002205298013245033,0.11433002352714537,0.013661174103617668,63360,16,36,75.64909720001742,35362177024
111,0.0002205298013245033,0.00022251655629139071,0.11024927679035398,0.013886820524930954,63936,16,36,75.23937112791464,35362177024
112,0.00022251655629139071,0.00022450331125827813,0.10899970473514661,0.011754078790545464,64512,16,36,75.3956082961522,35362177024
113,0.00022450331125827813,0.00022649006622516552,0.11158316830794016,0.011553679592907429,65088,16,36,75.32226595282555,35362177024
114,0.00022649006622516552,0.00022847682119205297,0.11110522473851839,0.013847366906702518,65664,16,36,75.35665185702965,35362177024
115,0.00022847682119205297,0.0002304635761589404,0.10762284033828311,0.015932178124785423,66240,16,36,75.3946798699908,35362177024
116,0.0002304635761589404,0.00023245033112582778,0.11149168676800197,0.013904406689107418,66816,16,36,75.05428418703377,35362177024
117,0.00023245033112582778,0.0002344370860927152,0.11283075436949729,0.015206106007099152,67392,16,36,75.38434497825801,35362177024
118,0.0002344370860927152,0.00023642384105960264,0.10821307119395997,0.01329348236322403,67968,16,36,75.40924298623577,35362177024
119,0.00023642384105960264,0.00023841059602649003,0.11790324540601835,0.01277082972228527,68544,16,36,75.4297315091826,35362177024
120,0.00023841059602649003,0.00024039735099337745,0.1104082643157906,0.016002334654331207,69120,16,36,75.68826229777187,35362177024
121,0.00024039735099337745,0.0002423841059602649,0.11087220451898044,0.015446515753865242,69696,16,36,75.39156412426382,35362177024
122,0.0002423841059602649,0.0002443708609271523,0.11236289805836147,0.013332380913197994,70272,16,36,75.33647554507479,35362177024
123,0.0002443708609271523,0.0002463576158940397,0.1129254934688409,0.013770177960395813,70848,16,36,75.32107697194442,35362177024
124,0.0002463576158940397,0.00024834437086092715,0.11044261273410585,0.014574655331671238,71424,16,36,75.30380863789469,35362177024
125,0.00024834437086092715,0.00025033112582781454,0.10876940687497458,0.013146840035915375,72000,16,36,75.28920685732737,35362177024
126,0.00025033112582781454,0.00025231788079470193,0.1135665654308266,0.0159450676292181,72576,16,36,75.33168374979869,35362177024
127,0.00025231788079470193,0.0002543046357615894,0.10868744055430093,0.015403538011014462,73152,16,36,75.30013743881136,35362177024
128,0.0002543046357615894,0.0002562913907284768,0.10494795855548646,0.015002933330833912,73728,16,36,75.45748743694276,35362177024
129,0.0002562913907284768,0.0002582781456953642,0.11074290921290714,0.015722086653113365,74304,16,36,75.3407637393102,35362177024
130,0.0002582781456953642,0.0002602649006622516,0.10706248672472106,0.015092691406607628,74880,16,36,75.72454581875354,35362177024
131,0.0002602649006622516,0.00026225165562913905,0.11416107540329298,0.019053727388381958,75456,16,36,75.1657461267896,35362177024
132,0.00026225165562913905,0.00026423841059602644,0.10699756070971489,0.015199285000562668,76032,16,36,75.45532995695248,35362177024
133,0.00026423841059602644,0.0002662251655629139,0.1069489088323381,0.014749028719961643,76608,16,36,75.38832621276379,35362177024
134,0.0002662251655629139,0.0002682119205298013,0.11306009027693006,0.016190892085433006,77184,16,36,75.27725714724511,35362177024
135,0.0002682119205298013,0.0002701986754966887,0.11017731618550089,0.01896686479449272,77760,16,36,75.5624202718027,35362177024
136,0.0002701986754966887,0.0002721854304635761,0.10780962473816341,0.017195429652929306,78336,16,36,75.84717517299578,35362177024
137,0.0002721854304635761,0.00027417218543046356,0.1083861490090688,0.016759146004915237,78912,16,36,75.39749953476712,35362177024
138,0.00027417218543046356,0.00027615894039735095,0.11043295512596765,0.020605195313692093,79488,16,36,75.46505469316617,35362177024
139,0.00027615894039735095,0.0002781456953642384,0.10519088018271658,0.022491171956062317,80064,16,36,75.36805208772421,35362177024
140,0.0002781456953642384,0.0002801324503311258,0.10428246359030405,0.015294136479496956,80640,16,36,75.52734909020364,35362177024
141,0.0002801324503311258,0.00028211920529801324,0.10986861379610166,0.015148130245506763,81216,16,36,75.58644052781165,35362177024
142,0.00028211920529801324,0.00028410596026490063,0.10967480349871847,0.019171368330717087,81792,16,36,75.61210996797308,35362177024
143,0.00028410596026490063,0.00028609271523178807,0.10866932363973722,0.018396705389022827,82368,16,36,75.55863079987466,35362177024
144,0.00028609271523178807,0.00028807947019867546,0.10590626216597027,0.019268546253442764,82944,16,36,75.34786248672754,35362177024
145,0.00028807947019867546,0.0002900662251655629,0.10914164698786204,0.015358014032244682,83520,16,36,75.42660530097783,35362177024
146,0.0002900662251655629,0.0002920529801324503,0.10197529569268227,0.013887220062315464,84096,16,36,75.32797712786123,35362177024
147,0.0002920529801324503,0.00029403973509933775,0.1061993580725458,0.022856013849377632,84672,16,36,75.49018268333748,35362177024
148,0.00029403973509933775,0.00029602649006622514,0.10597946784562534,0.024109093472361565,85248,16,36,75.04398977803066,35362177024
149,0.00029602649006622514,0.00029801324503311253,0.10350036786662206,0.021393096074461937,85824,16,36,75.33148280996829,35362177024
150,0.00029801324503311253,0.0003,0.1090917413433393,0.01734122820198536,86400,16,36,74.40068631665781,35362177024
151,0.0003,0.00029999935097887954,0.10737010712424913,0.021161111071705818,86976,16,36,75.98028386430815,35362177024
152,0.00029999935097887954,0.0002999974039213283,0.10441793004671732,0.01958676055073738,87552,16,36,75.33101168368012,35362177024
153,0.0002999974039213283,0.0002999941588447763,0.11050796508789062,0.017700834199786186,88128,16,36,75.49202250968665,35362177024
154,0.0002999941588447763,0.00029998961577827355,0.10414786967966291,0.017833588644862175,88704,16,36,75.29093612125143,35362177024
155,0.00029998961577827355,0.0002999837747624896,0.10144932981994416,0.028791485354304314,89280,16,36,75.30683013424277,35362177024
156,0.0002999837747624896,0.0002999766358497134,0.10856510864363776,0.023088468238711357,89856,16,36,75.37611944414675,35362177024
157,0.0002999766358497134,0.00029996819910385256,0.10958326856295267,0.015153746120631695,90432,16,36,75.32729069003835,35362177024
158,0.00029996819910385256,0.00029995846460043296,0.10424618009063932,0.01834469474852085,91008,16,36,75.54676388110965,35362177024
159,0.00029995846460043296,0.00029994743242659806,0.11229389367832078,0.01799885928630829,91584,16,36,75.19289908790961,35362177024
160,0.00029994743242659806,0.00029993510268110795,0.10511604572335878,0.015014625154435635,92160,16,36,75.11651121312752,35362177024
161,0.00029993510268110795,0.0002999214754743388,0.10602893431981403,0.014798291027545929,92736,16,36,75.34936992591247,35362177024
162,0.0002999214754743388,0.0002999065509282816,0.10542627092864777,0.0170343816280365,93312,16,36,75.36401369795203,35362177024
163,0.0002999065509282816,0.000299890329176541,0.1057176273316145,0.01600676029920578,93888,16,36,75.34608840337023,35362177024
164,0.000299890329176541,0.00029987281036433446,0.10502774185604519,0.0172259584069252,94464,16,36,75.68648358434439,35362177024
165,0.00029987281036433446,0.0002998539946484906,0.11145370370811886,0.02702176757156849,95040,16,36,75.83630937989801,35362177024
166,0.0002998539946484906,0.000299833882197448,0.10143169263998666,0.016159240156412125,95616,16,36,75.65703041199595,35362177024
167,0.000299833882197448,0.00029981247319125375,0.10578842254148588,0.015124606899917126,96192,16,36,75.29432040406391,35362177024
168,0.00029981247319125375,0.0002997897678215615,0.10604253825214172,0.01612556353211403,96768,16,36,75.33523755008355,35362177024
169,0.0002997897678215615,0.0002997657662916301,0.11083956807851791,0.01637466624379158,97344,16,36,75.38672230299562,35362177024
170,0.0002997657662916301,0.00029974046881632154,0.11066402453515264,0.01591203548014164,97920,16,36,75.26493775798008,35362177024
171,0.00029974046881632154,0.00029971387562209936,0.1028050382932027,0.017449768260121346,98496,16,36,75.2860499159433,35362177024
172,0.00029971387562209936,0.0002996859869470261,0.10237209250529605,0.017786597833037376,99072,16,36,75.2176879439503,35362177024
173,0.0002996859869470261,0.0002996568030407617,0.1046324289507336,0.018509823828935623,99648,16,36,75.14587520901114,35362177024
174,0.0002996568030407617,0.0002996263241645609,0.10329217587908109,0.017535962164402008,100224,16,36,75.3096813983284,35362177024
175,0.0002996263241645609,0.00029959455059127107,0.10507910450299582,0.015159724280238152,100800,16,36,75.34919717814773,35362177024
176,0.00029959455059127107,0.0002995614826053298,0.10176792161332235,0.014289977960288525,101376,16,36,74.87603693082929,35362177024
177,0.0002995614826053298,0.00029952712050276207,0.10172725551658207,0.015734359622001648,101952,16,36,75.2482733828947,35362177024
178,0.00029952712050276207,0.0002994914645911781,0.104445640825563,0.01681354083120823,102528,16,36,75.22365697380155,35362177024
179,0.0002994914645911781,0.0002994545151897701,0.1071883344815837,0.017896639183163643,103104,16,36,75.31375216972083,35362177024
180,0.0002994545151897701,0.00029941627262930964,0.10205258222089872,0.015955915674567223,103680,16,36,75.27374747162685,35362177024
181,0.00029941627262930964,0.00029937673725214477,0.10258005104131168,0.01730077899992466,104256,16,36,75.32696468103677,35362177024
182,0.00029937673725214477,0.00029933590941219677,0.10275251128607325,0.015497838146984577,104832,16,36,75.10044894507155,35362177024
183,0.00029933590941219677,0.0002992937894749571,0.10421050298545095,0.021973636001348495,105408,16,36,75.40123925125226,35362177024
184,0.0002992937894749571,0.0002992503778174841,0.10386465365688005,0.021836934611201286,105984,16,36,75.45892851380631,35362177024
185,0.0002992503778174841,0.0002992056748283996,0.10802429873082373,0.021060088649392128,106560,16,36,75.10515596996993,35362177024
186,0.0002992056748283996,0.00029915968090788543,0.10527226328849791,0.017658624798059464,107136,16,36,75.10353042092174,35362177024
187,0.00029915968090788543,0.0002991123964676799,0.09986330030692947,0.023823153227567673,107712,16,36,75.22567476844415,35362177024
188,0.0002991123964676799,0.00029906382193107406,0.1086832582950592,0.015963122248649597,108288,16,36,75.48107948899269,35362177024
189,0.00029906382193107406,0.00029901395773290784,0.10466496149698892,0.015458382666110992,108864,16,36,75.38522818498313,35362177024
190,0.00029901395773290784,0.0002989628043195664,0.0998910789688428,0.023011088371276855,109440,16,36,75.40342419268563,35362177024
191,0.0002989628043195664,0.00029891036214897584,0.10510993914471732,0.018345335498452187,110016,16,36,75.51818293100223,35362177024
192,0.00029891036214897584,0.00029885663169059926,0.1092448689871364,0.01759692281484604,110592,16,36,75.78024312620983,35362177024
193,0.00029885663169059926,0.00029880161342543264,0.1072328674296538,0.021158505231142044,111168,16,36,75.53279475076124,35362177024
194,0.00029880161342543264,0.0002987453078460002,0.1038353041642242,0.01668025366961956,111744,16,36,75.15354553842917,35362177024
195,0.0002987453078460002,0.00029868771545635053,0.10018283956580692,0.018100200220942497,112320,16,36,75.16745917126536,35362177024
196,0.00029868771545635053,0.00029862883677205144,0.10337417531344625,0.01432865671813488,112896,16,36,75.14686665311456,35362177024
197,0.00029862883677205144,0.00029856867232018594,0.10641863817969957,0.01627308502793312,113472,16,36,75.22592859808356,35362177024
198,0.00029856867232018594,0.000298507222639347,0.09732592437002394,0.024185199290513992,114048,16,36,75.09575126739219,35362177024
199,0.000298507222639347,0.0002984444882796333,0.10487663580311668,0.01727813296020031,114624,16,36,75.26994132902473,35362177024
200,0.0002984444882796333,0.0002983804698026436,0.10357041615578863,0.01755053922533989,115200,16,36,74.36780612030998,35362177024
201,0.0002983804698026436,0.0002983151677814725,0.09619334091742832,0.020751742646098137,115776,16,36,76.21163821034133,35362177024
202,0.0002983151677814725,0.00029824858280070443,0.10238429283102352,0.02378465235233307,116352,16,36,75.36459126044065,35362177024
203,0.00029824858280070443,0.0002981807154564094,0.10129528492689131,0.024948935955762863,116928,16,36,75.21396537823603,35362177024
204,0.0002981807154564094,0.00029811156635613684,0.10229327488276693,0.02536088041961193,117504,16,36,75.30226982198656,35362177024
205,0.00029811156635613684,0.00029804113611891055,0.09988647326827049,0.019711557775735855,118080,16,36,75.29400917608291,35362177024
206,0.00029804113611891055,0.0002979694253752232,0.10629970787300003,0.02492576465010643,118656,16,36,75.39189725834876,35362177024
207,0.0002979694253752232,0.00029789643476703034,0.10117100882861349,0.017686281353235245,119232,16,36,75.50787573028356,35362177024
208,0.00029789643476703034,0.0002978221649477451,0.10084498425324757,0.018142681568861008,119808,16,36,75.37382100103423,35362177024
209,0.0002978221649477451,0.00029774661658223204,0.103507319258319,0.019276432693004608,120384,16,36,75.34165489301085,35362177024
210,0.00029774661658223204,0.00029766979034680127,0.10543649892012277,0.02514522895216942,120960,16,36,75.34938943106681,35362177024
211,0.00029766979034680127,0.0002975916869292025,0.10745903642641172,0.019663961604237556,121536,16,36,75.19228752562776,35362177024
212,0.0002975916869292025,0.0002975123070286186,0.10401488550835186,0.01687503047287464,122112,16,36,75.4011831022799,35362177024
213,0.0002975123070286186,0.00029743165135565986,0.10084146757920581,0.018000783398747444,122688,16,36,75.34530327282846,35362177024
214,0.00029743165135565986,0.00029734972063235693,0.10116106561488575,0.021767916157841682,123264,16,36,75.23715838603675,35362177024
215,0.00029734972063235693,0.000297266515592155,0.10699986211127704,0.016556013375520706,123840,16,36,75.20441647525877,35362177024
216,0.000297266515592155,0.0002971820369799069,0.10613111116819911,0.018391815945506096,124416,16,36,75.29889490781352,35362177024
217,0.0002971820369799069,0.00029709628555186634,0.10486537342270214,0.016434984281659126,124992,16,36,75.16070723021403,35362177024
218,0.00029709628555186634,0.0002970092620756816,0.10732873611980014,0.015388429164886475,125568,16,36,75.16839783126488,35362177024
219,0.0002970092620756816,0.00029692096733038815,0.10073556626836458,0.01581818237900734,126144,16,36,75.26652092207223,35362177024
220,0.00029692096733038815,0.0002968314021064018,0.10287116385168499,0.01558395754545927,126720,16,36,75.23029941599816,35362177024
221,0.0002968314021064018,0.0002967405672055119,0.09946022017134559,0.019959241151809692,127296,16,36,75.30575028434396,35362177024
222,0.0002967405672055119,0.0002966484634408739,0.10389046453767352,0.016383875161409378,127872,16,36,75.2098298529163,35362177024
223,0.0002966484634408739,0.00029655509163700207,0.09982089367177752,0.020339947193861008,128448,16,36,75.6640441431664,35362177024
224,0.00029655509163700207,0.0002964604526297623,0.10589864560299449,0.021700739860534668,129024,16,36,75.59717200603336,35362177024
225,0.0002964604526297623,0.00029636454726636436,0.10853533984886274,0.020330749452114105,129600,16,36,75.41034198831767,35362177024
226,0.00029636454726636436,0.0002962673764053547,0.10273238602611753,0.013891068287193775,130176,16,36,75.20752190984786,35362177024
227,0.0002962673764053547,0.0002961689409166082,0.10214057895872328,0.020095551386475563,130752,16,36,75.27327662939206,35362177024
228,0.0002961689409166082,0.000296069241681321,0.09921591956582332,0.017896374687552452,131328,16,36,75.34936154726893,35362177024
