study,task_group,start,end,exposures,flow_loss_mean,flow_loss_median,flow_loss_p95,teaching_loss_mean,teaching_loss_median,teaching_loss_p95,fm_lora_gradient_norm_mean,fm_lora_gradient_norm_median,fm_lora_gradient_norm_p95,teaching_lora_gradient_norm_mean,teaching_lora_gradient_norm_median,teaching_lora_gradient_norm_p95
old,common20,0,24,500,0.12786440769618465,0.1223943948390938,0.19517563567275092,0.08219901000894606,0.06998556107282639,0.16747647523880005,0.015420124450698494,0.012410811614245176,0.0306381918489933,0.010465713192010298,0.008478222414851189,0.02519182302057743
old,common20,25,49,500,0.11976470278593755,0.11568558641842433,0.17758881619998387,0.06820941128581762,0.060650305822491646,0.1364641785621643,0.013367156038992106,0.01152392104268074,0.025906244292855263,0.008862620053812862,0.007419452536851168,0.017867587506771088
old,common20,50,74,500,0.11351001706542004,0.10786224529147148,0.17233743979817345,0.0662080438658595,0.0576848890632391,0.13623583316802979,0.012387392884120345,0.010985157452523708,0.021925395354628563,0.008294014279730618,0.007168153999373317,0.01654558815062046
old,common20,75,99,500,0.11116241172843036,0.10748505379472459,0.15899738456521714,0.06104480154439807,0.05342169106006622,0.12347912043333054,0.011524682979099452,0.010695059318095446,0.01935040019452572,0.007653977312147617,0.006696253549307585,0.015359395183622837
old,common20,100,124,500,0.1085997471103356,0.10491097505603517,0.16154739828336806,0.06005693924240768,0.05348558351397514,0.12268806248903275,0.010941519591026008,0.010233445558696985,0.01718338206410408,0.007478248043451458,0.006616943050175905,0.013543423265218735
old,common20,125,149,500,0.10650149690998452,0.10278350008385523,0.15260517739114304,0.056130569951608776,0.04912163130939007,0.11716628819704056,0.010658523359335958,0.009927274193614721,0.016590382903814316,0.007201222232775762,0.006552782608196139,0.013186551630496979
old,common20,150,174,500,0.10517983100882598,0.10085100059707958,0.1564201506830397,0.05792913192696869,0.05268042907118797,0.11743688583374023,0.010533326586708426,0.00986679457128048,0.016202641651034355,0.007500092412112281,0.0068897593300789595,0.013120763003826141
old,common20,175,199,500,0.10282004269389879,0.09989459919078009,0.15032686789830524,0.05386399378813803,0.04595596343278885,0.12505480647087097,0.01016288902144879,0.00985989673063159,0.015580280683934689,0.0070083295227959756,0.00623072893358767,0.013075744733214378
old,common20,200,224,500,0.10010327871480867,0.0958317488077141,0.14554078096435183,0.05623042576760054,0.047613589093089104,0.12284623831510544,0.009523236415348947,0.00907678622752428,0.014301625080406666,0.006980345596559346,0.006417644442990422,0.01298476755619049
old,common20,225,249,500,0.09909983660245225,0.09424502225149245,0.14634204443011964,0.04916962392255664,0.04068920761346817,0.10808020085096359,0.009258432488888501,0.00894906185567379,0.014018232934176922,0.006734977141954005,0.006212999112904072,0.012412913143634796
old,common20,250,274,500,0.09726427580274286,0.09378107468641939,0.1473052877755392,0.053380217312835154,0.04635511338710785,0.12043445557355881,0.008935756931081415,0.008347563445568085,0.013959774747490883,0.006997377003077418,0.006374792428687215,0.012375447899103165
old,common20,275,299,500,0.09829465712766562,0.09493313632195903,0.1452089711314156,0.04933338811807334,0.04200076125562191,0.10980162024497986,0.009005723105743527,0.008524045813828707,0.013425198383629322,0.006918053954606876,0.006345805013552308,0.01290271244943142
old,common20,300,324,500,0.09860162838832252,0.09523154298464456,0.14625905879906245,0.050057427016086876,0.04259109869599342,0.10480011254549026,0.009095163813792169,0.008806491736322641,0.013315972872078419,0.006951197268906981,0.006298095919191837,0.012320180423557758
old,common20,325,349,500,0.09790137709145035,0.09542592526191757,0.14567598274775914,0.05083621212281287,0.044572196900844574,0.10482469946146011,0.009064483005553485,0.008758582174777985,0.01353280059993267,0.007033501249738038,0.006375411059707403,0.013378082774579525
old,old_only4,0,24,100,0.14130198643143688,0.1374768391251564,0.20903182171639942,0.09736427625641227,0.0876828171312809,0.18486227095127106,0.012683714828453959,0.01187074463814497,0.02058943174779415,0.009979888452216984,0.009070753585547209,0.018559105694293976
old,old_only4,25,49,100,0.12567700047400734,0.11624661992703164,0.1914983405953362,0.07561504686251283,0.06661512702703476,0.16290852427482605,0.01120554501656443,0.010815470479428768,0.018633142113685608,0.0082965686917305,0.007417810382321477,0.013571455143392086
old,old_only4,50,74,100,0.12189516466288339,0.12109376773947761,0.17880945404370624,0.08065509235486389,0.072596725076437,0.19079650938510895,0.011048065084032714,0.010212500113993883,0.017215833067893982,0.009091114306356759,0.008546036668121815,0.015180004760622978
old,old_only4,75,99,100,0.11628194368488731,0.11038604981842495,0.17580408070768627,0.07221705175936222,0.06404000148177147,0.15835732221603394,0.010962773454375565,0.010139491874724627,0.016683712601661682,0.007419812742155045,0.006869510980322957,0.01278286799788475
old,old_only4,100,124,100,0.11583499619027687,0.11440661478610266,0.17484246052446817,0.07054572653025389,0.06384255737066269,0.15117794275283813,0.010449561434797942,0.01019790768623352,0.015162772499024868,0.008289563776925206,0.007165845250710845,0.017428725957870483
old,old_only4,125,149,100,0.11092030535496415,0.10413299110673721,0.16085551537218548,0.06235744273290038,0.05618767440319061,0.11981911957263947,0.01015526358038187,0.009869514498859644,0.014629204757511616,0.008005925319157541,0.007623302284628153,0.014111464843153954
old,old_only4,150,174,100,0.1139655825318325,0.11112012838323912,0.1742924799521764,0.06176535978913307,0.052260300144553185,0.13102157413959503,0.010738983303308487,0.010577568784356117,0.015001875348389149,0.007800223398953676,0.006919586332514882,0.013956894166767597
old,old_only4,175,199,100,0.11011197360498565,0.10683477882828031,0.17116797644467582,0.06247329777106643,0.05808334797620773,0.11020930111408234,0.010513704153709114,0.010342231951653957,0.015299729071557522,0.007955077919177711,0.007167309755459428,0.014089659787714481
old,old_only4,200,224,100,0.10712210551170366,0.10638838438760667,0.1597041856674921,0.05849440274760127,0.04921687953174114,0.11463741958141327,0.010048712412826717,0.009849959518760443,0.01597927138209343,0.007259629236068576,0.006899643922224641,0.011081286706030369
old,old_only4,225,249,100,0.10519990645349026,0.09949425874011858,0.1507068553141185,0.052832555510103706,0.04572763107717037,0.11687313765287399,0.009604442925192415,0.009442714508622885,0.013655612245202065,0.00700908612459898,0.006286589195951819,0.012292974628508091
old,old_only4,250,274,100,0.10211708386916489,0.09506653160566375,0.14904573063055673,0.05599504366517067,0.048135362565517426,0.11537931114435196,0.009252888951450586,0.008845870848745108,0.01352760475128889,0.007597763428930193,0.007058183429762721,0.013941583223640919
old,old_only4,275,299,100,0.1004950684770232,0.09261355815189225,0.15153799312455313,0.06046545364893973,0.05357909947633743,0.1187540739774704,0.009427896779961885,0.009511116426438093,0.013599886558949947,0.007543327668681741,0.007290976587682962,0.012698949314653873
old,old_only4,300,324,100,0.10272449200352032,0.09325667390865938,0.1503041854926518,0.05207346654962748,0.050515804439783096,0.10436931997537613,0.009382956135086716,0.00931905210018158,0.013653133064508438,0.007594150369986892,0.0067184800282120705,0.014668057672679424
old,old_only4,325,349,100,0.10313127812619009,0.09708106163002195,0.1616485338835489,0.06070962378755212,0.053442902863025665,0.11342838406562805,0.009683409105055035,0.009538587648421526,0.013820682652294636,0.00832737223478034,0.007390938466414809,0.013003867119550705
new,aux12,0,24,300,0.08974959430122185,0.09041586784379822,0.11895551390591119,0.0476525084922711,0.04325569421052933,0.09546148777008057,0.007254513295677801,0.006762716919183731,0.01287643052637577,0.005537007658276707,0.004953623050823808,0.010170290246605873
