suite,rows,reference_successes,candidate_successes,retained,gained,lost,churn_count,delta_successes
libero_10,100,20,27,15,12,5,17,7
libero_goal,100,36,39,32,7,4,11,3
libero_object,100,47,43,33,10,14,24,-4
libero_spatial,100,52,8,7,1,45,46,-44
