asset,canonical_row_steps,canonical_row_success,fidelity_status,max_abs_replan_pi05_state_error,original_predicate_transitions,original_predicates,pair_id,predicate_ever_match,predicate_final_match,predicate_peak_match,predicate_transitions_match,replan_states_match,replay_control_steps,replay_predicate_transitions,replay_replans,replay_success,saved_control_steps,saved_replans,saved_trajectory_success,state_atol,steps_match,success_matches
O1200,143,True,verified_saved_action_replay,0.0,"[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":143}]","[[""on"",""akita_black_bowl_1"",""plate_1""]]",libero_spatial_task_05_state_001,True,True,True,True,True,143,"[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":143}]",29,True,143,29,True,1e-05,True,True
C600,220,False,verified_saved_action_replay,0.0,"[{""satisfied"":[false],""step"":0}]","[[""on"",""akita_black_bowl_1"",""plate_1""]]",libero_spatial_task_05_state_001,True,True,True,True,True,220,"[{""satisfied"":[false],""step"":0}]",44,False,220,44,False,1e-05,True,True
O1200,202,True,verified_saved_action_replay,0.0,"[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":202}]","[[""in"",""salad_dressing_1"",""basket_1_contain_region""]]",libero_object_task_02_state_000,True,True,True,True,True,202,"[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":202}]",41,True,202,41,True,1e-05,True,True
C600,280,False,verified_saved_action_replay,0.0,"[{""satisfied"":[false],""step"":0}]","[[""in"",""salad_dressing_1"",""basket_1_contain_region""]]",libero_object_task_02_state_000,True,True,True,True,True,280,"[{""satisfied"":[false],""step"":0}]",56,False,280,56,False,1e-05,True,True
O1200,116,True,verified_saved_action_replay,0.0,"[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":116}]","[[""open"",""wooden_cabinet_1_middle_region""]]",libero_goal_task_00_state_001,True,True,True,True,True,116,"[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":116}]",24,True,116,24,True,1e-05,True,True
C600,300,False,verified_saved_action_replay,0.0,"[{""satisfied"":[false],""step"":0}]","[[""open"",""wooden_cabinet_1_middle_region""]]",libero_goal_task_00_state_001,True,True,True,True,True,300,"[{""satisfied"":[false],""step"":0}]",60,False,300,60,False,1e-05,True,True
O1200,254,True,verified_saved_action_replay,0.0,"[{""satisfied"":[false,false],""step"":0},{""satisfied"":[true,false],""step"":106},{""satisfied"":[false,false],""step"":107},{""satisfied"":[true,false],""step"":108},{""satisfied"":[false,false],""step"":113},{""satisfied"":[true,false],""step"":114},{""satisfied"":[false,false],""step"":116},{""satisfied"":[true,false],""step"":117},{""satisfied"":[false,false],""step"":124},{""satisfied"":[true,false],""step"":127},{""satisfied"":[false,false],""step"":133},{""satisfied"":[true,false],""step"":139},{""satisfied"":[true,true],""step"":254}]","[[""on"",""porcelain_mug_1"",""plate_1""],[""on"",""white_yellow_mug_1"",""plate_2""]]",libero_10_task_04_state_001,True,True,True,True,True,254,"[{""satisfied"":[false,false],""step"":0},{""satisfied"":[true,false],""step"":106},{""satisfied"":[false,false],""step"":107},{""satisfied"":[true,false],""step"":108},{""satisfied"":[false,false],""step"":113},{""satisfied"":[true,false],""step"":114},{""satisfied"":[false,false],""step"":116},{""satisfied"":[true,false],""step"":117},{""satisfied"":[false,false],""step"":124},{""satisfied"":[true,false],""step"":127},{""satisfied"":[false,false],""step"":133},{""satisfied"":[true,false],""step"":139},{""satisfied"":[true,true],""step"":254}]",51,True,254,51,True,1e-05,True,True
C600,520,False,verified_saved_action_replay,0.0,"[{""satisfied"":[false,false],""step"":0},{""satisfied"":[true,false],""step"":94},{""satisfied"":[false,false],""step"":111},{""satisfied"":[true,false],""step"":121},{""satisfied"":[false,false],""step"":122},{""satisfied"":[true,false],""step"":156},{""satisfied"":[false,false],""step"":206},{""satisfied"":[true,false],""step"":223},{""satisfied"":[false,false],""step"":226},{""satisfied"":[true,false],""step"":244},{""satisfied"":[false,false],""step"":266},{""satisfied"":[true,false],""step"":280},{""satisfied"":[false,false],""step"":281}]","[[""on"",""porcelain_mug_1"",""plate_1""],[""on"",""white_yellow_mug_1"",""plate_2""]]",libero_10_task_04_state_001,True,True,True,True,True,520,"[{""satisfied"":[false,false],""step"":0},{""satisfied"":[true,false],""step"":94},{""satisfied"":[false,false],""step"":111},{""satisfied"":[true,false],""step"":121},{""satisfied"":[false,false],""step"":122},{""satisfied"":[true,false],""step"":156},{""satisfied"":[false,false],""step"":206},{""satisfied"":[true,false],""step"":223},{""satisfied"":[false,false],""step"":226},{""satisfied"":[true,false],""step"":244},{""satisfied"":[false,false],""step"":266},{""satisfied"":[true,false],""step"":280},{""satisfied"":[false,false],""step"":281}]",104,False,520,104,False,1e-05,True,True
