asset,family,compilations,rank_centered_energy_ratio_mean,layer_centered_energy_ratio_mean,rank_gram_offdiag_mean,layer_gram_offdiag_mean,cross_video_cosine_mean,cross_video_relative_l2_mean,cross_video_centered_energy_ratio_mean,b_top1_energy_ratio_mean,delta_top1_energy_ratio_mean,reconstruction_relative_l2_mean,reconstruction_relative_l2_max
O1200,q_b,8,0.053492709940848406,0.08776197915359642,0.9849398026372573,0.9126101848880676,0.9905483719975031,0.11649251716193448,0.004780881831947724,0.9726112673992119,0.998345667156806,0.0016600775953175212,0.0016968502659270878
O1200,v_b,8,0.053915175058096926,0.09090174890849774,0.9839491232213058,0.9091847898146075,0.9902621656872239,0.12005702233335172,0.004910949088871656,0.9766282007127111,0.998755471427473,0.0016505984226397605,0.001729708501450818
N1000,q_b,8,0.009466409912335508,0.04071757647557783,0.9981267990890013,0.9653669809320039,0.9918891246359403,0.11139661184837915,0.004203730084935936,0.9965228876093877,0.9999131853707723,0.0016537140433007143,0.001680645243658362
N1000,v_b,8,0.008039028105860789,0.038730555205474804,0.9979351013296466,0.9634843638388053,0.9916968475976934,0.11117187664992423,0.004221016887040563,0.9975119982072351,0.9999744630542526,0.0016671284808621623,0.001744470019207734
