arm,family,rows,candidate_to_original_norm_ratio_mean,candidate_to_original_norm_ratio_min,rho_mean,rho_max,b_projection_relative_l2_mean,b_projection_relative_l2_max,finite
SELF,q_b,288,0.9999998944975028,0.9999998422213522,0.00045854538680481787,0.0005617448462043065,0.0015666237958583329,0.0015944363884004054,True
SELF,v_b,288,0.9999999842702691,0.9999999703504115,0.00017610311448677403,0.00024351421708980098,0.0006518560386994821,0.000720930161571298,True
NEWSPACE,q_b,288,0.6948313837203337,0.6612952483799147,0.7188243434968297,0.7501257191099017,0.7216600534804752,0.7505752689008344,True
NEWSPACE,v_b,288,0.9632360776181671,0.949583387984168,0.267355970787053,0.31351457584059694,0.2679695958197242,0.31243772763450356,True
SHRINK,q_b,288,0.6948313837203337,0.6612952483799147,0.3051686162796663,0.3387047516200853,0.7216600534804752,0.7505752689008344,True
SHRINK,v_b,288,0.9632360776181671,0.949583387984168,0.03676392238183289,0.05041661201583202,0.2679695958197242,0.31243772763450356,True
