step,global_step,lr_applied,lr_next,mean_flow_loss,mean_teaching_loss,mean_total_loss,writer_grad_norm,text_meta_grad_norm,vl_meta_grad_norm,meta_grad_norm,total_grad_norm,seconds,gradient_sync_seconds,optimizer_seconds,peak_allocated_gib,peak_reserved_gib,condition_exposures,task_exposures,supervised_queries,teaching_queries,total_queries,optimizer_updates,rank_peak_allocated_gib_max,rank_peak_reserved_gib_max
19,19,3.774834437086093e-05,3.9735099337748346e-05,0.1040516813684787,0.07831479143351316,0.13015661184631644,0.6093737483024597,5.664159471052699e-05,0.0005555798998102546,4.840549991058651e-06,0.6093737483024597,10.791886748746037,0.0346418796107173,0.006205280311405659,20.668067455291748,21.271484375,76,76,1596,532,2128,19,20.668067455291748,21.271484375
20,20,3.9735099337748346e-05,4.172185430463576e-05,0.11838047419275556,0.07726817671209574,0.14413653309678748,0.43402937054634094,2.5761630240594968e-05,0.00025542560615576804,3.3149922273878474e-06,0.43402937054634094,7.223317658528686,0.030789131298661232,0.006451940163969994,20.668067455291748,21.271484375,80,80,1680,560,2240,20,20.668067455291748,21.271484375
21,21,4.172185430463576e-05,4.3708609271523176e-05,0.15940802375830354,0.09674964100122452,0.19165790409204503,1.0934029817581177,0.00012192892609164119,0.0028029223904013634,2.535686144256033e-05,1.0934029817581177,7.113343657925725,0.03353079315274954,0.006767825223505497,20.668067455291748,21.271484375,84,84,1764,588,2352,21,20.668067455291748,21.271484375
22,22,4.3708609271523176e-05,4.5695364238410594e-05,0.10939482062877644,0.09337510447949171,0.14051985545527368,0.7088297605514526,1.9338323909323663e-05,0.0003338870592415333,6.466727427323349e-06,0.7088297605514526,9.651111805811524,0.032257238402962685,0.00631971750408411,20.668067455291748,21.271484375,88,88,1848,616,2464,22,20.668067455291748,21.271484375
23,23,4.5695364238410594e-05,4.768211920529801e-05,0.16095734290069055,0.07399474736303091,0.18562225868836751,1.04642915725708,6.170062260935083e-05,0.0008949585608206689,1.3033960385655519e-05,1.0464290380477905,11.993655255064368,0.033296226523816586,0.006380016915500164,20.668067455291748,21.271484375,92,92,1932,644,2576,23,20.668067455291748,21.271484375
24,24,4.768211920529801e-05,4.966887417218543e-05,0.12826946262447605,0.05313313286751509,0.14598050691364775,0.8373156189918518,4.40937583334744e-05,0.0008037404622882605,1.0467278116266243e-05,0.8373156189918518,7.350669767707586,0.035937937907874584,0.0064369188621640205,20.668067455291748,21.271484375,96,96,2016,672,2688,24,20.668067455291748,21.271484375
25,25,4.966887417218543e-05,5.165562913907284e-05,0.0948884440142484,0.08868124149739742,0.1244488578467142,0.8199453949928284,4.753549728775397e-05,0.0007559957448393106,3.034018118341919e-05,0.8199453949928284,8.04279671330005,0.031119059771299362,0.0062746889889240265,20.668067455291748,21.271484375,100,100,2100,700,2800,25,20.668067455291748,21.271484375
26,26,5.165562913907284e-05,5.364238410596026e-05,0.09030197454350335,0.04868508689105511,0.10653033684052171,0.5978706479072571,5.107821925776079e-05,0.0008538707625120878,2.9280494345584884e-05,0.5978707075119019,13.887473411858082,0.030266016721725464,0.006281472742557526,20.668067455291748,21.271484375,104,104,2184,728,2912,26,20.668067455291748,21.271484375
27,27,5.364238410596026e-05,5.562913907284768e-05,0.12920331954956055,0.1434577777981758,0.17702257881561914,1.6905169486999512,0.00015963410260155797,0.0028036246076226234,2.8773347366950475e-05,1.6905169486999512,9.314448475837708,0.03098305780440569,0.006226053461432457,20.668067455291748,21.271484375,108,108,2268,756,3024,27,20.668067455291748,21.271484375
28,28,5.562913907284768e-05,5.76158940397351e-05,0.12493270209857396,0.08169661182910204,0.15216490604160796,1.0641521215438843,0.00011254401033511385,0.0022940300405025482,2.7605381546891294e-05,1.0641521215438843,6.960666553117335,0.03108213283121586,0.006972801871597767,20.668067455291748,21.271484375,112,112,2352,784,3136,28,20.668067455291748,21.271484375
29,29,5.76158940397351e-05,5.960264900662251e-05,0.09741288148576305,0.0557429539039731,0.11599386612042074,0.5499362945556641,7.767213537590578e-05,0.001392821315675974,4.554711631499231e-05,0.5499362945556641,10.690049730241299,0.030674508772790432,0.006307690404355526,20.668067455291748,21.271484375,116,116,2436,812,3248,29,20.668067455291748,21.271484375
30,30,5.960264900662251e-05,6.158940397350993e-05,0.12246418460493996,0.07884678523987532,0.14874644635156506,0.9592758417129517,0.00013935568858869374,0.002832784317433834,4.6227960410760716e-05,0.9592757821083069,7.674639113247395,0.03386741876602173,0.006547628901898861,20.668067455291748,21.271484375,120,120,2520,840,3360,30,20.668067455291748,21.271484375
31,31,6.158940397350993e-05,6.357615894039734e-05,0.1031338588024179,0.09702949225902557,0.13547702288875976,0.6456227898597717,7.578996883239597e-05,0.0021977240685373545,6.191190186655149e-05,0.6456228494644165,15.04353300947696,0.0312523627653718,0.006413913331925869,20.668381214141846,21.271484375,124,124,2604,868,3472,31,20.668381214141846,21.271484375
32,32,6.357615894039734e-05,6.556291390728476e-05,0.17170099452847526,0.14280037302523851,0.2193011188702214,2.4644978046417236,0.00033468115725554526,0.007460151333361864,6.363735883496702e-05,2.4644978046417236,10.970914931036532,0.033450488932430744,0.0064161717891693115,20.668381214141846,21.271484375,128,128,2688,896,3584,32,20.668381214141846,21.271484375
33,33,6.556291390728476e-05,6.754966887417218e-05,0.12218125333033857,0.08114136988297105,0.14922837662466226,2.4784512519836426,0.0005122037837281823,0.0063623785972595215,0.000211285354453139,2.4784512519836426,10.521539168432355,0.03044944442808628,0.006272627040743828,20.668381214141846,21.271484375,132,132,2772,924,3696,33,20.668381214141846,21.271484375
34,34,6.754966887417218e-05,6.95364238410596e-05,0.1320724446503889,0.08371784770861268,0.15997839388659313,1.8846832513809204,0.0005651988903991878,0.007476696278899908,0.00017113341891672462,1.8846832513809204,9.240657735615969,0.03507806919515133,0.00633427407592535,20.668381214141846,21.271484375,136,136,2856,952,3808,34,20.668381214141846,21.271484375
35,35,6.95364238410596e-05,7.152317880794702e-05,0.1185647046991757,0.057293458841741085,0.1376625243130894,0.6207224726676941,0.0001892841246444732,0.00182838283944875,7.121388625819236e-05,0.6207224726676941,10.291578315198421,0.03637721482664347,0.006295063532888889,20.668381214141846,21.271484375,140,140,2940,980,3920,35,20.668381214141846,21.271484375
36,36,7.152317880794702e-05,7.350993377483444e-05,0.11408761618215413,0.05801624432206154,0.13342636428950796,0.44251224398612976,0.00011537556565599516,0.00244146678596735,7.077363989083096e-05,0.44251227378845215,10.384507070295513,0.03479296900331974,0.006224886514246464,20.668381214141846,21.271484375,144,144,3024,1008,4032,36,20.668381214141846,21.271484375
37,37,7.350993377483444e-05,7.549668874172185e-05,0.11325460796554883,0.04781038407236338,0.1291914026563366,1.1115200519561768,0.0002578362764324993,0.005368879064917564,4.4797769078286365e-05,1.1115200519561768,10.67406542878598,0.03238190524280071,0.006143530830740929,20.668381214141846,21.271484375,148,148,3108,1036,4144,37,20.668381214141846,21.271484375
38,38,7.549668874172185e-05,7.748344370860926e-05,0.1532005751948981,0.08675394300371408,0.18211855619613615,1.8033164739608765,0.0004802155017387122,0.010546278208494186,7.635013753315434e-05,1.8033164739608765,10.5698480932042,0.03160748723894358,0.006310508586466312,20.668381214141846,21.271484375,152,152,3192,1064,4256,38,20.668381214141846,21.271484375
39,39,7.748344370860926e-05,7.947019867549669e-05,0.11975140931705633,0.048788322135806084,0.13601418336232501,1.0655418634414673,0.00022447004448622465,0.003661669325083494,5.833153409184888e-05,1.0655418634414673,17.8608124749735,0.03160724230110645,0.006410357542335987,20.672264099121094,21.271484375,156,156,3276,1092,4368,39,20.672264099121094,21.271484375
40,40,7.947019867549669e-05,8.14569536423841e-05,0.09056041859799907,0.05632938910275698,0.1093368816322514,1.112823486328125,0.00019934792362619191,0.0033418782986700535,0.00010577937791822478,1.1128236055374146,7.139214253053069,0.03140984009951353,0.006242213770747185,20.672264099121094,21.271484375,160,160,3360,1120,4480,40,20.672264099121094,21.271484375
41,41,8.14569536423841e-05,8.344370860927151e-05,0.10563082443106742,0.07378609571605921,0.13022618966975383,0.7871392965316772,0.0002083386789308861,0.0022644123528152704,0.00010533830936765298,0.7871392965316772,8.508334779180586,0.030452478677034378,0.00645273644477129,20.672264099121094,21.271484375,164,164,3444,1148,4592,41,20.672264099121094,21.271484375
42,42,8.344370860927151e-05,8.543046357615893e-05,0.11219992493057535,0.07247669622302055,0.1363588236715822,0.8797178268432617,8.364624954992905e-05,0.0016461240593343973,3.0401428375625983e-05,0.8797178268432617,8.431975848972797,0.030425522476434708,0.006367512047290802,20.672264099121094,21.271484375,168,168,3528,1176,4704,42,20.672264099121094,21.271484375
43,43,8.543046357615893e-05,8.741721854304635e-05,0.1302641870542651,0.07424827199429274,0.1550136110523627,0.669992983341217,0.00014928053133189678,0.003449046518653631,0.00010584911797195673,0.669992983341217,7.319385578855872,0.030733714811503887,0.0061444127932190895,20.672264099121094,21.271484375,172,172,3612,1204,4816,43,20.672264099121094,21.271484375
44,44,8.741721854304635e-05,8.940397350993377e-05,0.12054027847590901,0.06352960038930178,0.1417168119390096,0.6616731286048889,0.00011682906188070774,0.0020418204367160797,5.502095154952258e-05,0.6616731286048889,10.619560643099248,0.032055496238172054,0.006280063651502132,20.672264099121094,21.271484375,176,176,3696,1232,4928,44,20.672264099121094,21.271484375
45,45,8.940397350993377e-05,9.139072847682119e-05,0.10099575517787819,0.08393216412514448,0.12897314321959302,0.5514198541641235,7.803115295246243e-05,0.00181995565071702,7.058925257297233e-05,0.5514198541641235,10.529766051098704,0.0317109115421772,0.006376413628458977,20.672264099121094,21.271484375,180,180,3780,1260,5040,45,20.672264099121094,21.271484375
46,46,9.139072847682119e-05,9.337748344370859e-05,0.09880901766674859,0.07103865663520992,0.12248856987848522,1.396636962890625,0.00011957703827647492,0.0025530632119625807,5.732435602112673e-05,1.396636962890625,7.644891479983926,0.04551718942821026,0.011554468423128128,20.672264099121094,21.271484375,184,184,3864,1288,5152,46,20.672264099121094,21.271484375
47,47,9.337748344370859e-05,9.536423841059602e-05,0.1387394273742324,0.07376863807439804,0.16332897339903174,0.7278518676757812,8.912381599657238e-05,0.0018416049424558878,1.4670843484054785e-05,0.7278518676757812,9.822333932854235,0.03246867656707764,0.0069411443546414375,20.672264099121094,21.271484375,188,188,3948,1316,5264,47,20.672264099121094,21.271484375
48,48,9.536423841059602e-05,9.735099337748343e-05,0.12284580839886551,0.0712216030806303,0.14658634275907562,1.1421937942504883,0.000252002413617447,0.005749019794166088,0.00024979442241601646,1.1421937942504883,11.473834561184049,0.031089127995073795,0.006368185393512249,20.672264099121094,21.271484375,192,192,4032,1344,5376,48,20.672264099121094,21.271484375
49,49,9.735099337748343e-05,9.933774834437086e-05,0.12773523399872438,0.10263533610850573,0.16194701270155962,1.10440194606781,0.00017025964916683733,0.002431593369692564,2.6747093215817586e-05,1.10440194606781,10.243815447203815,0.03196675889194012,0.006967635825276375,20.672264099121094,21.271484375,196,196,4116,1372,5488,49,20.672264099121094,21.271484375
50,50,9.933774834437086e-05,0.00010132450331125827,0.11061819753653945,0.06264509540051222,0.13149989600337686,0.6400074362754822,0.0002978352422360331,0.004182672593742609,5.114619852975011e-05,0.6400074362754822,8.687097884714603,0.033652275800704956,0.006483878009021282,20.672264099121094,21.271484375,200,200,4200,1400,5600,50,20.672264099121094,21.271484375
51,51,0.00010132450331125827,0.00010331125827814568,0.14052246564200946,0.10141752287745476,0.17432830660116103,0.8075233697891235,0.00027613333077169955,0.0054029724560678005,6.578052853001282e-05,0.8075233697891235,10.758302335627377,0.03579428419470787,0.006352808326482773,20.672264099121094,21.271484375,204,204,4284,1428,5712,51,20.672264099121094,21.271484375
52,52,0.00010331125827814568,0.0001052980132450331,0.11105484018723169,0.0882013626396656,0.14045529440045357,1.9604442119598389,0.00030733589665032923,0.006356862373650074,0.0004701383877545595,1.9604443311691284,9.652552428655326,0.03149627521634102,0.006979017518460751,20.672264099121094,21.271484375,208,208,4368,1456,5824,52,20.672264099121094,21.271484375
53,53,0.0001052980132450331,0.00010728476821192052,0.12310702442413285,0.07003255747258663,0.14645121024832838,1.3572092056274414,0.0002082816936308518,0.005776325240731239,0.00018399005057290196,1.357209324836731,8.460410628467798,0.03171285707503557,0.006518692709505558,20.672264099121094,21.271484375,212,212,4452,1484,5936,53,20.672264099121094,21.271484375
54,54,0.00010728476821192052,0.00010927152317880793,0.09929354391282512,0.05627474468201399,0.11805179214016312,0.6940754652023315,0.0004331275122240186,0.007675528526306152,0.0001769880036590621,0.6940754652023315,13.996868044137955,0.03281458094716072,0.006280945613980293,20.672264099121094,21.271484375,216,216,4536,1512,6048,54,20.672264099121094,21.271484375
55,55,0.00010927152317880793,0.00011125827814569536,0.09006258752197026,0.04735669493675232,0.1058481525008877,0.4638148248195648,0.00019257204257883132,0.002338395221158862,7.610038301208988e-05,0.46381479501724243,7.228190916590393,0.03442205581814051,0.006369458511471748,20.672264099121094,21.271484375,220,220,4620,1540,6160,55,20.672264099121094,21.271484375
56,56,0.00011125827814569536,0.00011324503311258276,0.11339344651926131,0.04016212443821132,0.12678082133199842,0.7165955305099487,0.00010460995690664276,0.001770569710060954,2.685635809029918e-05,0.7165955305099487,10.62384554091841,0.03167584631592035,0.006527482531964779,20.672264099121094,21.271484375,224,224,4704,1568,6272,56,20.672264099121094,21.271484375
57,57,0.00011324503311258276,0.0001152317880794702,0.14068516876016346,0.08750992454588413,0.1698551436087915,0.734645426273346,0.0002608212234918028,0.005371934734284878,8.934343350119889e-05,0.7346454858779907,11.902669627219439,0.030940299853682518,0.006198457442224026,20.672264099121094,21.271484375,228,228,4788,1596,6384,57,20.672264099121094,21.271484375
58,58,0.0001152317880794702,0.0001172185430463576,0.11864884468238979,0.057180347852408886,0.13770896063319274,0.6328513026237488,0.0001899053022498265,0.0034040939062833786,5.847196007380262e-05,0.6328513026237488,9.271650774404407,0.03078862652182579,0.006530637852847576,20.672264099121094,21.271484375,232,232,4872,1624,6496,58,20.672264099121094,21.271484375
59,59,0.0001172185430463576,0.00011920529801324502,0.1275507817488341,0.08301800768822432,0.1552234509782422,0.5641335248947144,9.297147335018963e-05,0.002484947210177779,0.0001126756178564392,0.5641335844993591,10.962834972888231,0.031036789529025555,0.0065127182751894,20.672264099121094,21.271484375,236,236,4956,1652,6608,59,20.672264099121094,21.271484375
60,60,0.00011920529801324502,0.00012119205298013245,0.11712294985495862,0.07992604281753302,0.1437649641274696,0.7426633238792419,0.0002634324773680419,0.004842208698391914,7.391319377347827e-05,0.7426633238792419,7.539037708193064,0.03373365756124258,0.006309477612376213,20.672264099121094,21.271484375,240,240,5040,1680,6720,60,20.672264099121094,21.271484375
61,61,0.00012119205298013245,0.00012317880794701985,0.11661969950156552,0.06859326642006636,0.13948412164158763,1.3398686647415161,0.00043325169826857746,0.010565061122179031,5.517453246284276e-05,1.3398686647415161,7.642542423680425,0.03219081740826368,0.006236894056200981,20.672264099121094,21.271484375,244,244,5124,1708,6832,61,20.672264099121094,21.271484375
62,62,0.00012317880794701985,0.00012516556291390727,0.10485262814022246,0.052102766931056976,0.12222021711724144,1.0862499475479126,0.0005579571006819606,0.013500304892659187,9.254191536456347e-05,1.0862499475479126,9.71585371159017,0.03067054506391287,0.006308772601187229,20.672264099121094,21.271484375,248,248,5208,1736,6944,62,20.672264099121094,21.271484375
63,63,0.00012516556291390727,0.0001271523178807947,0.12478533192049888,0.048039997927844524,0.14079866456311374,0.7821370959281921,0.0001781335740815848,0.0036395404022186995,6.31373914075084e-05,0.7821370959281921,15.112617961131036,0.034233749844133854,0.00623968243598938,20.672264099121094,21.271484375,252,252,5292,1764,7056,63,20.672264099121094,21.271484375
64,64,0.0001271523178807947,0.0001291390728476821,0.12361179243418433,0.10395809542387724,0.15826449090881006,1.1898068189620972,0.00030336788040585816,0.005283611826598644,8.62905362737365e-05,1.1898068189620972,10.192191167734563,0.030536791309714317,0.006598873995244503,20.672264099121094,21.271484375,256,256,5376,1792,7168,64,20.672264099121094,21.271484375
65,65,0.0001291390728476821,0.00013112582781456953,0.1177728266588279,0.09100278094410896,0.1481070869735309,0.7819094657897949,0.00024741762899793684,0.005059727001935244,9.523607877781615e-05,0.7819094657897949,8.480312833562493,0.03043176233768463,0.00625959038734436,20.672264099121094,21.271484375,260,260,5460,1820,7280,65,20.672264099121094,21.271484375
66,66,0.00013112582781456953,0.00013311258278145694,0.09283647402411414,0.06047331541776657,0.11299424583003634,0.4871962070465088,0.00013061620120424777,0.002668759087100625,6.541021139128134e-05,0.4871962070465088,8.246723032556474,0.031105016358196735,0.006259775720536709,20.672264099121094,21.271484375,264,264,5544,1848,7392,66,20.672264099121094,21.271484375
67,67,0.00013311258278145694,0.00013509933774834436,0.09797884208992833,0.066047303378582,0.119994609882789,0.38699260354042053,0.00019860042084474117,0.0051173437386751175,4.7295969125116244e-05,0.38699257373809814,11.22361945360899,0.035601845011115074,0.006345205940306187,20.672264099121094,21.271484375,268,268,5628,1876,7504,67,20.672264099121094,21.271484375
68,68,0.00013509933774834436,0.00013708609271523178,0.11116906956192993,0.06977593339979649,0.13442771402852874,0.6797510981559753,0.00021080173610243946,0.006541214417666197,5.08382981934119e-05,0.6797510981559753,6.9222025303170085,0.031346699222922325,0.0063188448548316956,20.672264099121094,21.271484375,272,272,5712,1904,7616,68,20.672264099121094,21.271484375
69,69,0.00013708609271523178,0.0001390728476821192,0.10546738814030374,0.037643108516931534,0.11801509097928092,0.44242024421691895,0.00022390465892385691,0.005013498477637768,0.00015097175491973758,0.44242024421691895,11.119514899328351,0.035307896323502064,0.006252427585422993,20.672264099121094,21.271484375,276,276,5796,1932,7728,69,20.672264099121094,21.271484375
70,70,0.0001390728476821192,0.00014105960264900662,0.09146254261334737,0.07159203663468361,0.11532655482490856,0.42930060625076294,0.00017985676822718233,0.006524485535919666,2.6715380954556167e-05,0.4293006360530853,8.444926394149661,0.030285043641924858,0.006299983710050583,20.672264099121094,21.271484375,280,280,5880,1960,7840,70,20.672264099121094,21.271484375
71,71,0.00014105960264900662,0.00014304635761589404,0.15227015183440276,0.08300558757036924,0.17993868102452582,1.5350010395050049,0.0002211598912253976,0.003908967133611441,0.00010378802107879892,1.5350010395050049,10.60633300896734,0.03064017742872238,0.006290268152952194,20.672264099121094,21.271484375,284,284,5964,1988,7952,71,20.672264099121094,21.271484375
72,72,0.00014304635761589404,0.00014503311258278145,0.1269232051979218,0.053371796384453773,0.14471380399273973,0.5060807466506958,0.0002363531239097938,0.006903465371578932,0.00011453283514128998,0.5060807466506958,15.14938731584698,0.031115606427192688,0.0062974970787763596,20.672264099121094,21.271484375,288,288,6048,2016,8064,72,20.672264099121094,21.271484375
73,73,0.00014503311258278145,0.00014701986754966887,0.09538741675870759,0.05311907432042062,0.11309377486551446,0.18150554597377777,6.481020682258531e-05,0.0006988351815380156,2.4328908693860285e-05,0.18150554597377777,7.7762655429542065,0.031217176467180252,0.006356249563395977,20.672264099121094,21.271484375,292,292,6132,2044,8176,73,20.672264099121094,21.271484375
74,74,0.00014701986754966887,0.00014900662251655626,0.10457144557897534,0.04901899676769972,0.12091111116820857,0.4774494767189026,0.00013998225040268153,0.0026686592027544975,0.00013744326133746654,0.4774494767189026,7.388735866174102,0.032987095415592194,0.006576902233064175,20.672264099121094,21.271484375,296,296,6216,2072,8288,74,20.672264099121094,21.271484375
75,75,0.00014900662251655626,0.0001509933774834437,0.09517637888590494,0.06135214027017355,0.11562709230929613,0.4430006444454193,0.0001811233232729137,0.004511932376772165,0.000232603371841833,0.4430006444454193,10.346682958304882,0.03146067261695862,0.006425528787076473,20.672264099121094,21.271484375,300,300,6300,2100,8400,75,20.672264099121094,21.271484375
76,76,0.0001509933774834437,0.00015298013245033113,0.14880396212850297,0.08475520741194487,0.1770556979324846,1.6030335426330566,0.0010446046944707632,0.018056748434901237,0.00020212990057189018,1.6030335426330566,8.355467094108462,0.03132765833288431,0.0066127534955739975,20.672264099121094,21.271484375,304,304,6384,2128,8512,76,20.672264099121094,21.271484375
77,77,0.00015298013245033113,0.00015496688741721852,0.10518457474453108,0.03866254212334752,0.11807208878564691,0.37592601776123047,0.00019693416834343225,0.004072803538292646,6.470140942838043e-05,0.37592601776123047,11.463708754628897,0.030856912955641747,0.007283513434231281,20.672264099121094,21.271484375,308,308,6468,2156,8624,77,20.672264099121094,21.271484375
78,78,0.00015496688741721852,0.00015695364238410594,0.10552484684047245,0.08749528881162405,0.1346899431110138,1.1306397914886475,0.0002911842311732471,0.011858277954161167,7.780789019307122e-05,1.130639672279358,7.070376188494265,0.031710448674857616,0.006508886814117432,20.672264099121094,21.271484375,312,312,6552,2184,8736,78,20.672264099121094,21.271484375
79,79,0.00015695364238410594,0.00015894039735099338,0.12052385686408905,0.06518671568483114,0.1422527620923661,0.5470755100250244,0.0002458099042996764,0.003654215019196272,0.0001276651892112568,0.5470755100250244,13.636561308056116,0.03139973524957895,0.007763083092868328,20.672264099121094,21.271484375,316,316,6636,2212,8848,79,20.672264099121094,21.271484375
80,80,0.00015894039735099338,0.00016092715231788077,0.11946125705504701,0.08302302099764347,0.14713559738759482,0.6901365518569946,0.0003759820538107306,0.007375989109277725,8.092664938885719e-05,0.6901365518569946,7.1260064616799355,0.030630568973720074,0.006251052021980286,20.672264099121094,21.271484375,320,320,6720,2240,8960,80,20.672264099121094,21.271484375
