suite,task_id,condition_exposures,unique_updates,main_queries,teaching_queries,mean_flow_loss,mean_teaching_loss,mean_fm_lora_gradient_norm,mean_teaching_lora_gradient_norm,mean_condition_seconds,mean_writer_forward_seconds,mean_writer_vjp_seconds,mean_fm_vjp_seconds,mean_teaching_vjp_seconds,main_video_episode_overlap_conditions,teaching_video_episode_overlap_conditions
libero_10,32,133,133,2793,931,0.11600076339704095,0.07498889353434395,0.011763306457157197,0.008411468964252145,10.751132485449762,1.9100894588010764,6.030774418362661,1.6218376584365068,0.6436120842800552,0,0
libero_10,34,134,134,2814,938,0.0978296615697004,0.04446924885790517,0.007356899012046963,0.004539347976557354,10.481050013752181,1.8579937041695438,5.8692701011687625,1.6212294326275032,0.6295799614806006,0,0
libero_10,35,134,134,2814,938,0.0789455913971016,0.03042582472536101,0.007733709324818493,0.004285762785002589,8.53017162105569,1.3939321890348262,4.415170188263448,1.6222873246853253,0.6264751761067492,0,0
libero_10,36,134,134,2814,938,0.10829969034573246,0.06265338848053074,0.009037550486652042,0.006362411160536333,10.436750664201968,1.8334447812539205,5.7945260261741485,1.6217061462047606,0.6392856049907407,0,0
libero_10,37,133,133,2793,931,0.12764933151404703,0.07204449038140308,0.009261103704067549,0.006533420581678699,10.83589816330827,1.9305690541317253,6.082283111506219,1.6207022741577006,0.6448511807598117,0,0
libero_10,38,134,134,2814,938,0.10131845440299865,0.06929106329248022,0.009985350631872442,0.007091448094987713,15.122472310862712,2.9355781447670575,9.242761020604243,1.6227145929640132,0.6651864707775748,0,0
libero_90,42,133,133,2793,931,0.08799679293919113,0.04978919489295187,0.007059963208210087,0.004957179727971106,6.5373326029446455,0.951886705599053,3.0371999301058343,1.6194135335771214,0.6010599088175852,0,0
libero_90,43,133,133,2793,931,0.09016378511862433,0.04364484549268968,0.0067053522732584995,0.004933193405648987,8.510085050919955,1.3942349388761293,4.412226397656184,1.6210052734941132,0.6195096375168603,0,0
libero_90,51,133,133,2793,931,0.06161260800859619,0.021665883978786774,0.0066762312570992945,0.00395954264891579,4.971433764071505,0.6066797327292257,1.9416568436470807,1.6131649249814506,0.5881390122948844,0,0
libero_90,55,133,133,2793,931,0.09488082198693552,0.0416123315593914,0.00726096636853776,0.005190624851957524,6.902331920123582,1.0302750693031943,3.263186320669501,1.6203987230441737,0.6105335662841684,0,0
libero_90,56,133,133,2793,931,0.09011716501920017,0.043258088304752244,0.006094337885681176,0.0043603860312736685,6.62460162989179,0.9714312074229794,3.0835151909955574,1.6194249688808744,0.6012539591262103,0,0
libero_90,62,134,134,2814,938,0.09822971407024887,0.057946934566290964,0.008199257044635935,0.007711252541656592,6.271977296606429,0.891762553762867,2.8438434142049456,1.6176863594064073,0.5995920455611464,0,0
libero_90,64,133,133,2793,931,0.09507757356084251,0.0446046619585022,0.0064394653134075995,0.0046689454973780345,6.815003994313118,1.013814879182194,3.2205211836494563,1.6200518518952387,0.6057310557987233,0,0
libero_90,73,133,133,2793,931,0.09666922362771377,0.05117110288316818,0.0065062961197997395,0.00545072376104842,8.899125000370905,1.4865844054987891,4.692358483602398,1.6197834537973754,0.6253337439261657,0,0
libero_90,95,133,133,2793,931,0.09320147373542494,0.041162186722390186,0.006797289943210501,0.0043569609086918535,6.376756759598515,0.917074839346447,2.914966818323373,1.6174360654085762,0.6047374163089054,0,0
libero_90,96,133,133,2793,931,0.09596672531042609,0.04820454787266882,0.006542036866531112,0.004969054344635373,5.796850769437458,0.7876074996993954,2.502179961098372,1.6170097293990446,0.5950195082092196,0,0
libero_90,97,134,134,2814,938,0.07773839335494119,0.04727748917665944,0.005782999353719625,0.0047733459991764335,7.4400237551681805,1.1531087259914894,3.6628815026800914,1.6202095529384244,0.6097807174395603,0,0
libero_90,101,133,133,2793,931,0.07585989212703308,0.04397482690366363,0.005206256093023191,0.004475055083884557,7.402556137489925,1.144044280346287,3.6233255521891485,1.6202987316169573,0.6112306842552429,0,0
libero_goal,20,133,133,2793,931,0.12309013428203189,0.07433513208831612,0.014207256425704275,0.00994691763535366,7.027994866111785,1.0622466793633942,3.370443404631171,1.6184694165489952,0.606000453646862,0,0
libero_goal,21,133,133,2793,931,0.0984451588679397,0.05216958640577426,0.011586522277360572,0.0066012243488173285,5.787301373282881,0.7884891156415293,2.5072107206525884,1.6172797591320442,0.5941446083142681,0,0
libero_goal,22,134,134,2814,938,0.13416587095111926,0.09902060394689663,0.020664939177292053,0.015391672301147855,5.958478425226327,0.8303318181728472,2.620983839389493,1.6175353856507078,0.5990903841595707,0,0
libero_goal,25,134,134,2814,938,0.1280601058266501,0.07744064944476556,0.018724852926167313,0.012333288851346987,7.382910679949364,1.1425110799079734,3.621467505553876,1.619588088911416,0.6084956770915705,0,0
libero_goal,28,133,133,2793,931,0.1131185400901603,0.057462067532360106,0.012503095223267275,0.006907364866465218,5.583093633616161,0.7453569536398452,2.367463567056098,1.6162620869612223,0.592005605851405,0,0
